时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,1.0
5,6,4.0
5,7,12.0
5,8,10.0
5,9,25.0
5,10,26.0
5,11,19.0
6,0,26.0
6,1,44.0
6,2,77.0
6,3,59.0
6,4,63.0
6,5,71.0
6,6,86.0
6,7,109.0
6,8,135.0
6,9,127.0
6,10,138.0
6,11,183.0
7,0,184.0
7,1,191.0
7,2,164.0
7,3,221.0
7,4,238.0
7,5,258.0
7,6,250.0
7,7,366.0
7,8,338.0
7,9,361.0
7,10,391.0
7,11,464.0
8,0,494.0
8,1,508.0
8,2,537.0
8,3,513.0
8,4,507.0
8,5,497.0
8,6,444.0
8,7,500.0
8,8,523.0
8,9,519.0
8,10,451.0
8,11,397.0
9,0,388.0
9,1,332.0
9,2,349.0
9,3,298.0
9,4,311.0
9,5,273.0
9,6,197.0
9,7,242.0
9,8,223.0
9,9,176.0
9,10,169.0
9,11,184.0
10,0,129.0
10,1,161.0
10,2,157.0
10,3,150.0
10,4,117.0
10,5,106.0
10,6,108.0
10,7,142.0
10,8,104.0
10,9,94.0
10,10,116.0
10,11,104.0
11,0,84.0
11,1,87.0
11,2,143.0
11,3,98.0
11,4,96.0
11,5,98.0
11,6,113.0
11,7,87.0
11,8,94.0
11,9,112.0
11,10,119.0
11,11,96.0
12,0,73.0
12,1,87.0
12,2,106.0
12,3,99.0
12,4,94.0
12,5,110.0
12,6,141.0
12,7,99.0
12,8,104.0
12,9,84.0
12,10,155.0
12,11,126.0
13,0,98.0
13,1,110.0
13,2,139.0
13,3,123.0
13,4,105.0
13,5,113.0
13,6,98.0
13,7,148.0
13,8,90.0
13,9,105.0
13,10,91.0
13,11,136.0
14,0,112.0
14,1,118.0
14,2,111.0
14,3,118.0
14,4,103.0
14,5,93.0
14,6,95.0
14,7,103.0
14,8,94.0
14,9,108.0
14,10,108.0
14,11,112.0
15,0,105.0
15,1,121.0
15,2,139.0
15,3,117.0
15,4,123.0
15,5,104.0
15,6,127.0
15,7,138.0
15,8,126.0
15,9,113.0
15,10,154.0
15,11,122.0
16,0,114.0
16,1,121.0
16,2,136.0
16,3,155.0
16,4,141.0
16,5,132.0
16,6,204.0
16,7,199.0
16,8,209.0
16,9,187.0
16,10,194.0
16,11,177.0
17,0,245.0
17,1,269.0
17,2,312.0
17,3,278.0
17,4,235.0
17,5,298.0
17,6,299.0
17,7,355.0
17,8,367.0
17,9,389.0
17,10,336.0
17,11,346.0
18,0,356.0
18,1,323.0
18,2,359.0
18,3,358.0
18,4,369.0
18,5,401.0
18,6,342.0
18,7,252.0
18,8,348.0
18,9,335.0
18,10,300.0
18,11,257.0
19,0,283.0
19,1,195.0
19,2,206.0
19,3,221.0
19,4,201.0
19,5,213.0
19,6,125.0
19,7,162.0
19,8,145.0
19,9,140.0
19,10,152.0
19,11,118.0
20,0,104.0
20,1,100.0
20,2,100.0
20,3,142.0
20,4,89.0
20,5,112.0
20,6,117.0
20,7,102.0
20,8,105.0
20,9,129.0
20,10,88.0
20,11,95.0
21,0,99.0
21,1,108.0
21,2,95.0
21,3,103.0
21,4,110.0
21,5,151.0
21,6,101.0
21,7,101.0
21,8,111.0
21,9,85.0
21,10,79.0
21,11,76.0
22,0,86.0
22,1,89.0
22,2,111.0
22,3,83.0
22,4,79.0
22,5,74.0
22,6,60.0
22,7,52.0
22,8,79.0
22,9,32.0
22,10,33.0
22,11,32.0
23,0,20.0
23,1,16.0
23,2,9.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
