时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,4.0
5,7,5.0
5,8,13.0
5,9,10.0
5,10,19.0
5,11,42.0
6,0,35.0
6,1,66.0
6,2,82.0
6,3,76.0
6,4,93.0
6,5,141.0
6,6,147.0
6,7,241.0
6,8,210.0
6,9,296.0
6,10,349.0
6,11,421.0
7,0,363.0
7,1,410.0
7,2,423.0
7,3,407.0
7,4,311.0
7,5,428.0
7,6,523.0
7,7,435.0
7,8,610.0
7,9,617.0
7,10,455.0
7,11,543.0
8,0,555.0
8,1,590.0
8,2,610.0
8,3,608.0
8,4,575.0
8,5,585.0
8,6,549.0
8,7,648.0
8,8,626.0
8,9,578.0
8,10,548.0
8,11,498.0
9,0,544.0
9,1,472.0
9,2,421.0
9,3,457.0
9,4,394.0
9,5,410.0
9,6,411.0
9,7,299.0
9,8,459.0
9,9,289.0
9,10,354.0
9,11,356.0
10,0,257.0
10,1,294.0
10,2,294.0
10,3,238.0
10,4,223.0
10,5,253.0
10,6,252.0
10,7,265.0
10,8,163.0
10,9,216.0
10,10,157.0
10,11,223.0
11,0,158.0
11,1,209.0
11,2,184.0
11,3,174.0
11,4,152.0
11,5,175.0
11,6,183.0
11,7,134.0
11,8,168.0
11,9,146.0
11,10,158.0
11,11,215.0
12,0,154.0
12,1,139.0
12,2,162.0
12,3,165.0
12,4,155.0
12,5,126.0
12,6,207.0
12,7,198.0
12,8,141.0
12,9,169.0
12,10,214.0
12,11,231.0
13,0,157.0
13,1,201.0
13,2,199.0
13,3,192.0
13,4,141.0
13,5,219.0
13,6,170.0
13,7,187.0
13,8,186.0
13,9,188.0
13,10,152.0
13,11,230.0
14,0,180.0
14,1,170.0
14,2,166.0
14,3,231.0
14,4,201.0
14,5,150.0
14,6,178.0
14,7,273.0
14,8,188.0
14,9,174.0
14,10,242.0
14,11,218.0
15,0,198.0
15,1,189.0
15,2,224.0
15,3,245.0
15,4,205.0
15,5,224.0
15,6,226.0
15,7,216.0
15,8,228.0
15,9,270.0
15,10,292.0
15,11,278.0
16,0,294.0
16,1,289.0
16,2,259.0
16,3,310.0
16,4,252.0
16,5,321.0
16,6,347.0
16,7,406.0
16,8,415.0
16,9,419.0
16,10,353.0
16,11,371.0
17,0,437.0
17,1,403.0
17,2,503.0
17,3,476.0
17,4,394.0
17,5,434.0
17,6,425.0
17,7,433.0
17,8,451.0
17,9,414.0
17,10,351.0
17,11,389.0
18,0,352.0
18,1,396.0
18,2,391.0
18,3,457.0
18,4,454.0
18,5,451.0
18,6,358.0
18,7,386.0
18,8,311.0
18,9,298.0
18,10,288.0
18,11,290.0
19,0,298.0
19,1,275.0
19,2,239.0
19,3,219.0
19,4,170.0
19,5,194.0
19,6,170.0
19,7,186.0
19,8,164.0
19,9,151.0
19,10,147.0
19,11,154.0
20,0,119.0
20,1,134.0
20,2,101.0
20,3,145.0
20,4,116.0
20,5,132.0
20,6,127.0
20,7,140.0
20,8,124.0
20,9,87.0
20,10,175.0
20,11,140.0
21,0,87.0
21,1,135.0
21,2,132.0
21,3,91.0
21,4,95.0
21,5,117.0
21,6,104.0
21,7,124.0
21,8,107.0
21,9,108.0
21,10,79.0
21,11,76.0
22,0,100.0
22,1,93.0
22,2,110.0
22,3,79.0
22,4,75.0
22,5,59.0
22,6,67.0
22,7,52.0
22,8,73.0
22,9,19.0
22,10,21.0
22,11,13.0
23,0,21.0
23,1,11.0
23,2,4.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
