时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,4.0
5,6,2.0
5,7,7.0
5,8,6.0
5,9,7.0
5,10,19.0
5,11,20.0
6,0,46.0
6,1,43.0
6,2,58.0
6,3,70.0
6,4,63.0
6,5,92.0
6,6,96.0
6,7,99.0
6,8,161.0
6,9,242.0
6,10,233.0
6,11,263.0
7,0,321.0
7,1,341.0
7,2,331.0
7,3,314.0
7,4,272.0
7,5,325.0
7,6,377.0
7,7,374.0
7,8,497.0
7,9,394.0
7,10,547.0
7,11,498.0
8,0,525.0
8,1,631.0
8,2,604.0
8,3,634.0
8,4,676.0
8,5,645.0
8,6,663.0
8,7,625.0
8,8,670.0
8,9,720.0
8,10,639.0
8,11,619.0
9,0,604.0
9,1,483.0
9,2,553.0
9,3,439.0
9,4,470.0
9,5,378.0
9,6,404.0
9,7,346.0
9,8,313.0
9,9,332.0
9,10,339.0
9,11,220.0
10,0,242.0
10,1,284.0
10,2,221.0
10,3,226.0
10,4,251.0
10,5,229.0
10,6,184.0
10,7,213.0
10,8,196.0
10,9,231.0
10,10,148.0
10,11,219.0
11,0,200.0
11,1,167.0
11,2,191.0
11,3,194.0
11,4,194.0
11,5,216.0
11,6,176.0
11,7,170.0
11,8,177.0
11,9,237.0
11,10,183.0
11,11,169.0
12,0,214.0
12,1,199.0
12,2,177.0
12,3,187.0
12,4,186.0
12,5,210.0
12,6,178.0
12,7,163.0
12,8,188.0
12,9,198.0
12,10,202.0
12,11,232.0
13,0,206.0
13,1,213.0
13,2,199.0
13,3,211.0
13,4,183.0
13,5,234.0
13,6,193.0
13,7,189.0
13,8,216.0
13,9,218.0
13,10,188.0
13,11,194.0
14,0,222.0
14,1,221.0
14,2,170.0
14,3,197.0
14,4,209.0
14,5,191.0
14,6,205.0
14,7,214.0
14,8,172.0
14,9,260.0
14,10,210.0
14,11,195.0
15,0,208.0
15,1,297.0
15,2,231.0
15,3,187.0
15,4,194.0
15,5,219.0
15,6,273.0
15,7,270.0
15,8,270.0
15,9,294.0
15,10,224.0
15,11,265.0
16,0,221.0
16,1,268.0
16,2,281.0
16,3,269.0
16,4,268.0
16,5,313.0
16,6,249.0
16,7,329.0
16,8,408.0
16,9,330.0
16,10,395.0
16,11,374.0
17,0,389.0
17,1,513.0
17,2,585.0
17,3,460.0
17,4,462.0
17,5,426.0
17,6,494.0
17,7,614.0
17,8,578.0
17,9,490.0
17,10,506.0
17,11,432.0
18,0,458.0
18,1,532.0
18,2,539.0
18,3,583.0
18,4,452.0
18,5,400.0
18,6,475.0
18,7,371.0
18,8,359.0
18,9,469.0
18,10,298.0
18,11,316.0
19,0,304.0
19,1,259.0
19,2,244.0
19,3,244.0
19,4,220.0
19,5,258.0
19,6,185.0
19,7,158.0
19,8,190.0
19,9,174.0
19,10,164.0
19,11,160.0
20,0,174.0
20,1,170.0
20,2,167.0
20,3,168.0
20,4,136.0
20,5,161.0
20,6,146.0
20,7,130.0
20,8,172.0
20,9,137.0
20,10,126.0
20,11,134.0
21,0,131.0
21,1,170.0
21,2,197.0
21,3,191.0
21,4,131.0
21,5,128.0
21,6,152.0
21,7,130.0
21,8,144.0
21,9,137.0
21,10,107.0
21,11,116.0
22,0,116.0
22,1,87.0
22,2,104.0
22,3,88.0
22,4,92.0
22,5,86.0
22,6,98.0
22,7,61.0
22,8,54.0
22,9,22.0
22,10,42.0
22,11,19.0
23,0,22.0
23,1,11.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
