时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,3.0
5,4,2.0
5,5,2.0
5,6,8.0
5,7,8.0
5,8,18.0
5,9,12.0
5,10,20.0
5,11,16.0
6,0,24.0
6,1,31.0
6,2,39.0
6,3,44.0
6,4,57.0
6,5,38.0
6,6,60.0
6,7,93.0
6,8,90.0
6,9,90.0
6,10,87.0
6,11,115.0
7,0,126.0
7,1,137.0
7,2,145.0
7,3,162.0
7,4,176.0
7,5,179.0
7,6,186.0
7,7,180.0
7,8,221.0
7,9,247.0
7,10,227.0
7,11,311.0
8,0,291.0
8,1,293.0
8,2,286.0
8,3,261.0
8,4,268.0
8,5,266.0
8,6,291.0
8,7,261.0
8,8,329.0
8,9,251.0
8,10,227.0
8,11,230.0
9,0,169.0
9,1,188.0
9,2,208.0
9,3,170.0
9,4,153.0
9,5,130.0
9,6,111.0
9,7,119.0
9,8,94.0
9,9,92.0
9,10,61.0
9,11,106.0
10,0,89.0
10,1,67.0
10,2,74.0
10,3,77.0
10,4,76.0
10,5,70.0
10,6,69.0
10,7,60.0
10,8,56.0
10,9,73.0
10,10,64.0
10,11,56.0
11,0,76.0
11,1,54.0
11,2,60.0
11,3,52.0
11,4,64.0
11,5,51.0
11,6,41.0
11,7,60.0
11,8,79.0
11,9,52.0
11,10,46.0
11,11,49.0
12,0,58.0
12,1,67.0
12,2,61.0
12,3,63.0
12,4,72.0
12,5,65.0
12,6,57.0
12,7,61.0
12,8,50.0
12,9,70.0
12,10,64.0
12,11,54.0
13,0,61.0
13,1,55.0
13,2,50.0
13,3,51.0
13,4,81.0
13,5,51.0
13,6,68.0
13,7,55.0
13,8,82.0
13,9,44.0
13,10,52.0
13,11,64.0
14,0,44.0
14,1,59.0
14,2,46.0
14,3,62.0
14,4,68.0
14,5,48.0
14,6,47.0
14,7,71.0
14,8,70.0
14,9,46.0
14,10,55.0
14,11,58.0
15,0,76.0
15,1,58.0
15,2,75.0
15,3,105.0
15,4,66.0
15,5,77.0
15,6,72.0
15,7,79.0
15,8,82.0
15,9,83.0
15,10,74.0
15,11,78.0
16,0,92.0
16,1,72.0
16,2,77.0
16,3,102.0
16,4,97.0
16,5,118.0
16,6,95.0
16,7,126.0
16,8,126.0
16,9,138.0
16,10,140.0
16,11,149.0
17,0,151.0
17,1,185.0
17,2,196.0
17,3,155.0
17,4,190.0
17,5,175.0
17,6,195.0
17,7,170.0
17,8,210.0
17,9,230.0
17,10,228.0
17,11,208.0
18,0,190.0
18,1,236.0
18,2,240.0
18,3,228.0
18,4,198.0
18,5,203.0
18,6,179.0
18,7,158.0
18,8,224.0
18,9,209.0
18,10,145.0
18,11,168.0
19,0,147.0
19,1,157.0
19,2,162.0
19,3,138.0
19,4,117.0
19,5,104.0
19,6,112.0
19,7,113.0
19,8,96.0
19,9,84.0
19,10,113.0
19,11,85.0
20,0,102.0
20,1,61.0
20,2,72.0
20,3,80.0
20,4,58.0
20,5,61.0
20,6,72.0
20,7,75.0
20,8,77.0
20,9,47.0
20,10,82.0
20,11,78.0
21,0,63.0
21,1,65.0
21,2,66.0
21,3,71.0
21,4,74.0
21,5,80.0
21,6,64.0
21,7,91.0
21,8,53.0
21,9,45.0
21,10,38.0
21,11,57.0
22,0,54.0
22,1,69.0
22,2,61.0
22,3,50.0
22,4,46.0
22,5,41.0
22,6,38.0
22,7,23.0
22,8,32.0
22,9,20.0
22,10,18.0
22,11,4.0
23,0,13.0
23,1,9.0
23,2,7.0
23,3,12.0
23,4,4.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
