时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,4.0
5,4,3.0
5,5,7.0
5,6,24.0
5,7,15.0
5,8,25.0
5,9,11.0
5,10,26.0
5,11,36.0
6,0,27.0
6,1,37.0
6,2,53.0
6,3,66.0
6,4,52.0
6,5,106.0
6,6,103.0
6,7,118.0
6,8,130.0
6,9,146.0
6,10,159.0
6,11,181.0
7,0,244.0
7,1,220.0
7,2,177.0
7,3,245.0
7,4,238.0
7,5,333.0
7,6,269.0
7,7,317.0
7,8,390.0
7,9,381.0
7,10,358.0
7,11,357.0
8,0,407.0
8,1,416.0
8,2,383.0
8,3,417.0
8,4,375.0
8,5,361.0
8,6,398.0
8,7,322.0
8,8,355.0
8,9,274.0
8,10,269.0
8,11,225.0
9,0,173.0
9,1,205.0
9,2,187.0
9,3,157.0
9,4,141.0
9,5,150.0
9,6,126.0
9,7,146.0
9,8,89.0
9,9,125.0
9,10,86.0
9,11,116.0
10,0,113.0
10,1,75.0
10,2,95.0
10,3,77.0
10,4,76.0
10,5,86.0
10,6,58.0
10,7,86.0
10,8,81.0
10,9,84.0
10,10,75.0
10,11,67.0
11,0,96.0
11,1,61.0
11,2,83.0
11,3,48.0
11,4,71.0
11,5,85.0
11,6,68.0
11,7,65.0
11,8,77.0
11,9,66.0
11,10,67.0
11,11,76.0
12,0,77.0
12,1,79.0
12,2,74.0
12,3,80.0
12,4,87.0
12,5,76.0
12,6,68.0
12,7,92.0
12,8,87.0
12,9,62.0
12,10,63.0
12,11,63.0
13,0,69.0
13,1,69.0
13,2,64.0
13,3,86.0
13,4,101.0
13,5,80.0
13,6,64.0
13,7,64.0
13,8,87.0
13,9,62.0
13,10,91.0
13,11,89.0
14,0,81.0
14,1,76.0
14,2,59.0
14,3,70.0
14,4,106.0
14,5,54.0
14,6,73.0
14,7,64.0
14,8,114.0
14,9,76.0
14,10,76.0
14,11,80.0
15,0,68.0
15,1,49.0
15,2,91.0
15,3,80.0
15,4,114.0
15,5,95.0
15,6,96.0
15,7,109.0
15,8,113.0
15,9,108.0
15,10,110.0
15,11,66.0
16,0,148.0
16,1,104.0
16,2,100.0
16,3,148.0
16,4,190.0
16,5,161.0
16,6,182.0
16,7,208.0
16,8,163.0
16,9,153.0
16,10,165.0
16,11,204.0
17,0,264.0
17,1,223.0
17,2,263.0
17,3,251.0
17,4,250.0
17,5,189.0
17,6,223.0
17,7,230.0
17,8,252.0
17,9,217.0
17,10,220.0
17,11,241.0
18,0,255.0
18,1,307.0
18,2,259.0
18,3,262.0
18,4,188.0
18,5,280.0
18,6,265.0
18,7,268.0
18,8,230.0
18,9,145.0
18,10,272.0
18,11,228.0
19,0,221.0
19,1,226.0
19,2,165.0
19,3,130.0
19,4,165.0
19,5,152.0
19,6,157.0
19,7,116.0
19,8,90.0
19,9,109.0
19,10,96.0
19,11,103.0
20,0,78.0
20,1,100.0
20,2,55.0
20,3,103.0
20,4,104.0
20,5,86.0
20,6,63.0
20,7,60.0
20,8,107.0
20,9,60.0
20,10,50.0
20,11,124.0
21,0,58.0
21,1,59.0
21,2,95.0
21,3,91.0
21,4,87.0
21,5,74.0
21,6,74.0
21,7,61.0
21,8,75.0
21,9,64.0
21,10,69.0
21,11,53.0
22,0,58.0
22,1,84.0
22,2,54.0
22,3,50.0
22,4,47.0
22,5,48.0
22,6,56.0
22,7,60.0
22,8,37.0
22,9,33.0
22,10,36.0
22,11,23.0
23,0,20.0
23,1,19.0
23,2,15.0
23,3,13.0
23,4,7.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
