时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,4.0
5,5,15.0
5,6,21.0
5,7,30.0
5,8,30.0
5,9,42.0
5,10,54.0
5,11,43.0
6,0,95.0
6,1,83.0
6,2,95.0
6,3,138.0
6,4,80.0
6,5,185.0
6,6,175.0
6,7,150.0
6,8,272.0
6,9,299.0
6,10,256.0
6,11,256.0
7,0,370.0
7,1,307.0
7,2,415.0
7,3,487.0
7,4,520.0
7,5,648.0
7,6,515.0
7,7,514.0
7,8,673.0
7,9,519.0
7,10,659.0
7,11,543.0
8,0,685.0
8,1,725.0
8,2,722.0
8,3,635.0
8,4,713.0
8,5,584.0
8,6,793.0
8,7,638.0
8,8,524.0
8,9,572.0
8,10,586.0
8,11,568.0
9,0,496.0
9,1,452.0
9,2,529.0
9,3,491.0
9,4,368.0
9,5,387.0
9,6,342.0
9,7,317.0
9,8,301.0
9,9,254.0
9,10,286.0
9,11,206.0
10,0,233.0
10,1,278.0
10,2,202.0
10,3,265.0
10,4,172.0
10,5,225.0
10,6,212.0
10,7,159.0
10,8,234.0
10,9,176.0
10,10,154.0
10,11,199.0
11,0,176.0
11,1,182.0
11,2,193.0
11,3,176.0
11,4,189.0
11,5,185.0
11,6,178.0
11,7,210.0
11,8,164.0
11,9,132.0
11,10,165.0
11,11,210.0
12,0,184.0
12,1,183.0
12,2,246.0
12,3,209.0
12,4,197.0
12,5,182.0
12,6,265.0
12,7,156.0
12,8,159.0
12,9,238.0
12,10,179.0
12,11,188.0
13,0,192.0
13,1,194.0
13,2,196.0
13,3,225.0
13,4,202.0
13,5,222.0
13,6,149.0
13,7,193.0
13,8,176.0
13,9,181.0
13,10,188.0
13,11,184.0
14,0,197.0
14,1,194.0
14,2,212.0
14,3,175.0
14,4,188.0
14,5,142.0
14,6,186.0
14,7,182.0
14,8,197.0
14,9,209.0
14,10,204.0
14,11,144.0
15,0,217.0
15,1,186.0
15,2,215.0
15,3,205.0
15,4,144.0
15,5,212.0
15,6,224.0
15,7,173.0
15,8,257.0
15,9,196.0
15,10,168.0
15,11,244.0
16,0,231.0
16,1,250.0
16,2,204.0
16,3,315.0
16,4,217.0
16,5,244.0
16,6,247.0
16,7,265.0
16,8,256.0
16,9,277.0
16,10,307.0
16,11,371.0
17,0,323.0
17,1,331.0
17,2,384.0
17,3,343.0
17,4,499.0
17,5,398.0
17,6,401.0
17,7,605.0
17,8,437.0
17,9,491.0
17,10,540.0
17,11,623.0
18,0,376.0
18,1,739.0
18,2,592.0
18,3,711.0
18,4,659.0
18,5,573.0
18,6,663.0
18,7,608.0
18,8,567.0
18,9,708.0
18,10,542.0
18,11,488.0
19,0,659.0
19,1,398.0
19,2,495.0
19,3,457.0
19,4,619.0
19,5,451.0
19,6,298.0
19,7,300.0
19,8,433.0
19,9,252.0
19,10,356.0
19,11,311.0
20,0,204.0
20,1,324.0
20,2,258.0
20,3,250.0
20,4,294.0
20,5,219.0
20,6,252.0
20,7,287.0
20,8,189.0
20,9,265.0
20,10,216.0
20,11,207.0
21,0,274.0
21,1,149.0
21,2,181.0
21,3,271.0
21,4,196.0
21,5,208.0
21,6,236.0
21,7,179.0
21,8,201.0
21,9,156.0
21,10,188.0
21,11,171.0
22,0,212.0
22,1,130.0
22,2,153.0
22,3,148.0
22,4,125.0
22,5,131.0
22,6,79.0
22,7,104.0
22,8,82.0
22,9,76.0
22,10,31.0
22,11,116.0
23,0,33.0
23,1,19.0
23,2,22.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
