时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,7.0
5,5,7.0
5,6,19.0
5,7,11.0
5,8,10.0
5,9,13.0
5,10,11.0
5,11,27.0
6,0,13.0
6,1,17.0
6,2,23.0
6,3,14.0
6,4,32.0
6,5,24.0
6,6,55.0
6,7,57.0
6,8,54.0
6,9,63.0
6,10,77.0
6,11,105.0
7,0,78.0
7,1,87.0
7,2,96.0
7,3,114.0
7,4,143.0
7,5,146.0
7,6,185.0
7,7,192.0
7,8,186.0
7,9,185.0
7,10,260.0
7,11,221.0
8,0,247.0
8,1,323.0
8,2,300.0
8,3,274.0
8,4,314.0
8,5,279.0
8,6,308.0
8,7,317.0
8,8,247.0
8,9,224.0
8,10,207.0
8,11,218.0
9,0,145.0
9,1,178.0
9,2,106.0
9,3,102.0
9,4,102.0
9,5,85.0
9,6,83.0
9,7,82.0
9,8,64.0
9,9,69.0
9,10,53.0
9,11,64.0
10,0,74.0
10,1,41.0
10,2,43.0
10,3,50.0
10,4,52.0
10,5,32.0
10,6,41.0
10,7,32.0
10,8,21.0
10,9,41.0
10,10,42.0
10,11,32.0
11,0,31.0
11,1,31.0
11,2,23.0
11,3,19.0
11,4,29.0
11,5,37.0
11,6,30.0
11,7,43.0
11,8,28.0
11,9,34.0
11,10,32.0
11,11,32.0
12,0,34.0
12,1,31.0
12,2,35.0
12,3,38.0
12,4,33.0
12,5,33.0
12,6,27.0
12,7,37.0
12,8,34.0
12,9,44.0
12,10,44.0
12,11,37.0
13,0,38.0
13,1,26.0
13,2,26.0
13,3,36.0
13,4,30.0
13,5,33.0
13,6,28.0
13,7,31.0
13,8,38.0
13,9,40.0
13,10,29.0
13,11,19.0
14,0,32.0
14,1,34.0
14,2,40.0
14,3,38.0
14,4,29.0
14,5,45.0
14,6,36.0
14,7,30.0
14,8,30.0
14,9,26.0
14,10,35.0
14,11,32.0
15,0,33.0
15,1,40.0
15,2,39.0
15,3,42.0
15,4,23.0
15,5,41.0
15,6,33.0
15,7,27.0
15,8,29.0
15,9,35.0
15,10,42.0
15,11,47.0
16,0,31.0
16,1,23.0
16,2,48.0
16,3,31.0
16,4,30.0
16,5,35.0
16,6,50.0
16,7,56.0
16,8,67.0
16,9,78.0
16,10,79.0
16,11,43.0
17,0,62.0
17,1,108.0
17,2,121.0
17,3,106.0
17,4,112.0
17,5,102.0
17,6,108.0
17,7,160.0
17,8,129.0
17,9,197.0
17,10,173.0
17,11,203.0
18,0,126.0
18,1,123.0
18,2,222.0
18,3,214.0
18,4,183.0
18,5,205.0
18,6,201.0
18,7,118.0
18,8,199.0
18,9,122.0
18,10,141.0
18,11,169.0
19,0,125.0
19,1,129.0
19,2,121.0
19,3,104.0
19,4,98.0
19,5,136.0
19,6,60.0
19,7,76.0
19,8,101.0
19,9,68.0
19,10,80.0
19,11,45.0
20,0,69.0
20,1,57.0
20,2,50.0
20,3,76.0
20,4,68.0
20,5,38.0
20,6,59.0
20,7,33.0
20,8,46.0
20,9,66.0
20,10,61.0
20,11,53.0
21,0,47.0
21,1,38.0
21,2,61.0
21,3,31.0
21,4,37.0
21,5,68.0
21,6,36.0
21,7,46.0
21,8,33.0
21,9,48.0
21,10,50.0
21,11,43.0
22,0,35.0
22,1,50.0
22,2,26.0
22,3,37.0
22,4,31.0
22,5,38.0
22,6,27.0
22,7,26.0
22,8,21.0
22,9,34.0
22,10,24.0
22,11,17.0
23,0,10.0
23,1,9.0
23,2,2.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
