时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,4.0
5,9,14.0
5,10,21.0
5,11,43.0
6,0,56.0
6,1,105.0
6,2,90.0
6,3,303.0
6,4,150.0
6,5,269.0
6,6,239.0
6,7,282.0
6,8,322.0
6,9,382.0
6,10,371.0
6,11,334.0
7,0,553.0
7,1,607.0
7,2,521.0
7,3,684.0
7,4,808.0
7,5,808.0
7,6,1026.0
7,7,974.0
7,8,887.0
7,9,1258.0
7,10,1085.0
7,11,1113.0
8,0,1262.0
8,1,1398.0
8,2,1155.0
8,3,1114.0
8,4,1080.0
8,5,938.0
8,6,1071.0
8,7,964.0
8,8,1088.0
8,9,873.0
8,10,936.0
8,11,895.0
9,0,652.0
9,1,754.0
9,2,393.0
9,3,540.0
9,4,373.0
9,5,536.0
9,6,406.0
9,7,298.0
9,8,390.0
9,9,287.0
9,10,210.0
9,11,273.0
10,0,257.0
10,1,184.0
10,2,214.0
10,3,181.0
10,4,234.0
10,5,220.0
10,6,149.0
10,7,171.0
10,8,164.0
10,9,117.0
10,10,184.0
10,11,184.0
11,0,128.0
11,1,155.0
11,2,157.0
11,3,138.0
11,4,181.0
11,5,116.0
11,6,100.0
11,7,143.0
11,8,139.0
11,9,176.0
11,10,183.0
11,11,193.0
12,0,181.0
12,1,191.0
12,2,150.0
12,3,187.0
12,4,151.0
12,5,165.0
12,6,157.0
12,7,189.0
12,8,143.0
12,9,208.0
12,10,204.0
12,11,153.0
13,0,141.0
13,1,186.0
13,2,167.0
13,3,147.0
13,4,199.0
13,5,115.0
13,6,198.0
13,7,181.0
13,8,129.0
13,9,160.0
13,10,186.0
13,11,143.0
14,0,132.0
14,1,152.0
14,2,125.0
14,3,114.0
14,4,138.0
14,5,178.0
14,6,153.0
14,7,123.0
14,8,151.0
14,9,194.0
14,10,167.0
14,11,171.0
15,0,164.0
15,1,157.0
15,2,134.0
15,3,145.0
15,4,204.0
15,5,173.0
15,6,193.0
15,7,233.0
15,8,156.0
15,9,164.0
15,10,95.0
15,11,184.0
16,0,212.0
16,1,213.0
16,2,162.0
16,3,220.0
16,4,222.0
16,5,184.0
16,6,214.0
16,7,285.0
16,8,308.0
16,9,274.0
16,10,246.0
16,11,246.0
17,0,325.0
17,1,374.0
17,2,350.0
17,3,453.0
17,4,392.0
17,5,393.0
17,6,541.0
17,7,526.0
17,8,441.0
17,9,721.0
17,10,565.0
17,11,455.0
18,0,973.0
18,1,589.0
18,2,705.0
18,3,1112.0
18,4,646.0
18,5,970.0
18,6,792.0
18,7,651.0
18,8,700.0
18,9,891.0
18,10,751.0
18,11,900.0
19,0,640.0
19,1,745.0
19,2,836.0
19,3,533.0
19,4,480.0
19,5,895.0
19,6,452.0
19,7,628.0
19,8,166.0
19,9,715.0
19,10,435.0
19,11,288.0
20,0,385.0
20,1,323.0
20,2,268.0
20,3,413.0
20,4,258.0
20,5,305.0
20,6,415.0
20,7,195.0
20,8,325.0
20,9,265.0
20,10,224.0
20,11,322.0
21,0,315.0
21,1,175.0
21,2,326.0
21,3,249.0
21,4,214.0
21,5,288.0
21,6,218.0
21,7,270.0
21,8,219.0
21,9,263.0
21,10,200.0
21,11,222.0
22,0,209.0
22,1,204.0
22,2,143.0
22,3,175.0
22,4,162.0
22,5,139.0
22,6,115.0
22,7,118.0
22,8,141.0
22,9,135.0
22,10,115.0
22,11,14.0
23,0,93.0
23,1,80.0
23,2,63.0
23,3,32.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
