时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,0.0
5,7,13.0
5,8,29.0
5,9,50.0
5,10,93.0
5,11,69.0
6,0,70.0
6,1,81.0
6,2,88.0
6,3,115.0
6,4,99.0
6,5,136.0
6,6,158.0
6,7,240.0
6,8,148.0
6,9,198.0
6,10,375.0
6,11,212.0
7,0,292.0
7,1,422.0
7,2,315.0
7,3,488.0
7,4,807.0
7,5,471.0
7,6,578.0
7,7,893.0
7,8,749.0
7,9,626.0
7,10,1036.0
7,11,628.0
8,0,637.0
8,1,877.0
8,2,728.0
8,3,606.0
8,4,861.0
8,5,468.0
8,6,538.0
8,7,541.0
8,8,564.0
8,9,414.0
8,10,517.0
8,11,288.0
9,0,256.0
9,1,293.0
9,2,192.0
9,3,195.0
9,4,262.0
9,5,184.0
9,6,142.0
9,7,166.0
9,8,139.0
9,9,143.0
9,10,147.0
9,11,124.0
10,0,106.0
10,1,137.0
10,2,81.0
10,3,138.0
10,4,139.0
10,5,151.0
10,6,103.0
10,7,172.0
10,8,59.0
10,9,110.0
10,10,151.0
10,11,69.0
11,0,106.0
11,1,87.0
11,2,82.0
11,3,51.0
11,4,101.0
11,5,119.0
11,6,94.0
11,7,116.0
11,8,82.0
11,9,95.0
11,10,97.0
11,11,92.0
12,0,97.0
12,1,115.0
12,2,80.0
12,3,90.0
12,4,142.0
12,5,87.0
12,6,96.0
12,7,98.0
12,8,54.0
12,9,96.0
12,10,110.0
12,11,80.0
13,0,73.0
13,1,97.0
13,2,84.0
13,3,75.0
13,4,112.0
13,5,45.0
13,6,79.0
13,7,73.0
13,8,84.0
13,9,83.0
13,10,81.0
13,11,103.0
14,0,80.0
14,1,99.0
14,2,54.0
14,3,83.0
14,4,87.0
14,5,89.0
14,6,78.0
14,7,58.0
14,8,74.0
14,9,67.0
14,10,100.0
14,11,91.0
15,0,90.0
15,1,113.0
15,2,78.0
15,3,90.0
15,4,96.0
15,5,74.0
15,6,91.0
15,7,138.0
15,8,105.0
15,9,71.0
15,10,142.0
15,11,86.0
16,0,96.0
16,1,134.0
16,2,117.0
16,3,120.0
16,4,130.0
16,5,109.0
16,6,121.0
16,7,166.0
16,8,198.0
16,9,130.0
16,10,185.0
16,11,137.0
17,0,168.0
17,1,203.0
17,2,179.0
17,3,170.0
17,4,277.0
17,5,200.0
17,6,173.0
17,7,298.0
17,8,188.0
17,9,368.0
17,10,356.0
17,11,238.0
18,0,321.0
18,1,364.0
18,2,354.0
18,3,220.0
18,4,524.0
18,5,417.0
18,6,476.0
18,7,561.0
18,8,337.0
18,9,578.0
18,10,553.0
18,11,491.0
19,0,380.0
19,1,467.0
19,2,477.0
19,3,392.0
19,4,443.0
19,5,388.0
19,6,283.0
19,7,454.0
19,8,318.0
19,9,149.0
19,10,337.0
19,11,260.0
20,0,202.0
20,1,300.0
20,2,143.0
20,3,186.0
20,4,236.0
20,5,128.0
20,6,244.0
20,7,234.0
20,8,190.0
20,9,210.0
20,10,232.0
20,11,131.0
21,0,210.0
21,1,180.0
21,2,158.0
21,3,170.0
21,4,153.0
21,5,147.0
21,6,149.0
21,7,147.0
21,8,202.0
21,9,135.0
21,10,148.0
21,11,147.0
22,0,99.0
22,1,150.0
22,2,96.0
22,3,72.0
22,4,85.0
22,5,85.0
22,6,57.0
22,7,90.0
22,8,77.0
22,9,60.0
22,10,68.0
22,11,62.0
23,0,59.0
23,1,75.0
23,2,22.0
23,3,26.0
23,4,19.0
23,5,17.0
23,6,4.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
