时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,8.0
5,8,11.0
5,9,16.0
5,10,11.0
5,11,8.0
6,0,10.0
6,1,19.0
6,2,30.0
6,3,32.0
6,4,31.0
6,5,48.0
6,6,57.0
6,7,78.0
6,8,87.0
6,9,123.0
6,10,109.0
6,11,118.0
7,0,152.0
7,1,162.0
7,2,125.0
7,3,198.0
7,4,258.0
7,5,287.0
7,6,270.0
7,7,395.0
7,8,375.0
7,9,439.0
7,10,549.0
7,11,396.0
8,0,723.0
8,1,600.0
8,2,717.0
8,3,617.0
8,4,765.0
8,5,1014.0
8,6,896.0
8,7,867.0
8,8,915.0
8,9,850.0
8,10,999.0
8,11,735.0
9,0,820.0
9,1,742.0
9,2,566.0
9,3,733.0
9,4,542.0
9,5,506.0
9,6,361.0
9,7,301.0
9,8,339.0
9,9,338.0
9,10,191.0
9,11,228.0
10,0,214.0
10,1,167.0
10,2,173.0
10,3,188.0
10,4,112.0
10,5,129.0
10,6,127.0
10,7,106.0
10,8,112.0
10,9,120.0
10,10,88.0
10,11,67.0
11,0,63.0
11,1,86.0
11,2,82.0
11,3,80.0
11,4,109.0
11,5,77.0
11,6,99.0
11,7,99.0
11,8,103.0
11,9,76.0
11,10,77.0
11,11,92.0
12,0,88.0
12,1,93.0
12,2,87.0
12,3,112.0
12,4,105.0
12,5,113.0
12,6,100.0
12,7,101.0
12,8,77.0
12,9,62.0
12,10,92.0
12,11,102.0
13,0,108.0
13,1,87.0
13,2,101.0
13,3,111.0
13,4,120.0
13,5,100.0
13,6,68.0
13,7,88.0
13,8,79.0
13,9,96.0
13,10,94.0
13,11,99.0
14,0,88.0
14,1,78.0
14,2,88.0
14,3,76.0
14,4,85.0
14,5,98.0
14,6,80.0
14,7,72.0
14,8,90.0
14,9,91.0
14,10,96.0
14,11,80.0
15,0,99.0
15,1,97.0
15,2,109.0
15,3,91.0
15,4,75.0
15,5,154.0
15,6,114.0
15,7,110.0
15,8,132.0
15,9,111.0
15,10,58.0
15,11,143.0
16,0,106.0
16,1,104.0
16,2,105.0
16,3,118.0
16,4,124.0
16,5,102.0
16,6,124.0
16,7,142.0
16,8,158.0
16,9,159.0
16,10,228.0
16,11,180.0
17,0,229.0
17,1,380.0
17,2,451.0
17,3,444.0
17,4,455.0
17,5,386.0
17,6,383.0
17,7,632.0
17,8,869.0
17,9,652.0
17,10,737.0
17,11,496.0
18,0,613.0
18,1,633.0
18,2,873.0
18,3,762.0
18,4,650.0
18,5,686.0
18,6,604.0
18,7,457.0
18,8,494.0
18,9,441.0
18,10,463.0
18,11,436.0
19,0,334.0
19,1,391.0
19,2,317.0
19,3,374.0
19,4,256.0
19,5,230.0
19,6,267.0
19,7,206.0
19,8,164.0
19,9,236.0
19,10,155.0
19,11,152.0
20,0,193.0
20,1,152.0
20,2,150.0
20,3,170.0
20,4,149.0
20,5,139.0
20,6,138.0
20,7,118.0
20,8,165.0
20,9,169.0
20,10,131.0
20,11,116.0
21,0,98.0
21,1,120.0
21,2,128.0
21,3,121.0
21,4,138.0
21,5,119.0
21,6,110.0
21,7,104.0
21,8,103.0
21,9,115.0
21,10,75.0
21,11,86.0
22,0,69.0
22,1,82.0
22,2,68.0
22,3,64.0
22,4,70.0
22,5,56.0
22,6,44.0
22,7,33.0
22,8,44.0
22,9,28.0
22,10,28.0
22,11,22.0
23,0,6.0
23,1,9.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
