时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,3.0
5,5,5.0
5,6,7.0
5,7,5.0
5,8,17.0
5,9,6.0
5,10,7.0
5,11,14.0
6,0,8.0
6,1,12.0
6,2,23.0
6,3,47.0
6,4,21.0
6,5,62.0
6,6,41.0
6,7,43.0
6,8,41.0
6,9,64.0
6,10,65.0
6,11,98.0
7,0,95.0
7,1,119.0
7,2,152.0
7,3,119.0
7,4,172.0
7,5,174.0
7,6,165.0
7,7,206.0
7,8,232.0
7,9,392.0
7,10,312.0
7,11,521.0
8,0,605.0
8,1,542.0
8,2,836.0
8,3,896.0
8,4,778.0
8,5,940.0
8,6,1310.0
8,7,997.0
8,8,1098.0
8,9,1478.0
8,10,1104.0
8,11,827.0
9,0,988.0
9,1,794.0
9,2,644.0
9,3,882.0
9,4,591.0
9,5,460.0
9,6,592.0
9,7,428.0
9,8,318.0
9,9,411.0
9,10,292.0
9,11,294.0
10,0,209.0
10,1,126.0
10,2,298.0
10,3,201.0
10,4,202.0
10,5,172.0
10,6,216.0
10,7,97.0
10,8,257.0
10,9,174.0
10,10,155.0
10,11,135.0
11,0,176.0
11,1,177.0
11,2,120.0
11,3,175.0
11,4,150.0
11,5,150.0
11,6,184.0
11,7,147.0
11,8,146.0
11,9,189.0
11,10,196.0
11,11,185.0
12,0,167.0
12,1,146.0
12,2,160.0
12,3,162.0
12,4,133.0
12,5,126.0
12,6,157.0
12,7,159.0
12,8,169.0
12,9,178.0
12,10,167.0
12,11,185.0
13,0,185.0
13,1,183.0
13,2,178.0
13,3,192.0
13,4,181.0
13,5,161.0
13,6,152.0
13,7,194.0
13,8,180.0
13,9,185.0
13,10,171.0
13,11,138.0
14,0,185.0
14,1,167.0
14,2,131.0
14,3,184.0
14,4,141.0
14,5,143.0
14,6,176.0
14,7,190.0
14,8,167.0
14,9,189.0
14,10,183.0
14,11,172.0
15,0,180.0
15,1,187.0
15,2,208.0
15,3,155.0
15,4,133.0
15,5,190.0
15,6,163.0
15,7,186.0
15,8,197.0
15,9,195.0
15,10,229.0
15,11,177.0
16,0,189.0
16,1,213.0
16,2,202.0
16,3,205.0
16,4,217.0
16,5,178.0
16,6,197.0
16,7,266.0
16,8,313.0
16,9,278.0
16,10,287.0
16,11,244.0
17,0,281.0
17,1,468.0
17,2,450.0
17,3,505.0
17,4,510.0
17,5,426.0
17,6,535.0
17,7,774.0
17,8,768.0
17,9,882.0
17,10,645.0
17,11,628.0
18,0,656.0
18,1,735.0
18,2,1013.0
18,3,963.0
18,4,780.0
18,5,792.0
18,6,695.0
18,7,650.0
18,8,579.0
18,9,536.0
18,10,588.0
18,11,439.0
19,0,331.0
19,1,419.0
19,2,388.0
19,3,358.0
19,4,331.0
19,5,279.0
19,6,275.0
19,7,270.0
19,8,252.0
19,9,288.0
19,10,235.0
19,11,206.0
20,0,221.0
20,1,213.0
20,2,271.0
20,3,252.0
20,4,192.0
20,5,217.0
20,6,172.0
20,7,265.0
20,8,217.0
20,9,215.0
20,10,168.0
20,11,224.0
21,0,176.0
21,1,226.0
21,2,274.0
21,3,252.0
21,4,224.0
21,5,168.0
21,6,227.0
21,7,203.0
21,8,180.0
21,9,175.0
21,10,124.0
21,11,136.0
22,0,144.0
22,1,139.0
22,2,114.0
22,3,105.0
22,4,98.0
22,5,93.0
22,6,50.0
22,7,47.0
22,8,20.0
22,9,19.0
22,10,8.0
22,11,12.0
23,0,2.0
23,1,11.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
