时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,3.0
5,7,3.0
5,8,7.0
5,9,7.0
5,10,13.0
5,11,19.0
6,0,17.0
6,1,27.0
6,2,34.0
6,3,38.0
6,4,40.0
6,5,49.0
6,6,55.0
6,7,82.0
6,8,72.0
6,9,96.0
6,10,90.0
6,11,120.0
7,0,164.0
7,1,152.0
7,2,154.0
7,3,177.0
7,4,184.0
7,5,205.0
7,6,196.0
7,7,354.0
7,8,373.0
7,9,365.0
7,10,340.0
7,11,446.0
8,0,425.0
8,1,527.0
8,2,477.0
8,3,538.0
8,4,581.0
8,5,544.0
8,6,572.0
8,7,608.0
8,8,692.0
8,9,790.0
8,10,589.0
8,11,504.0
9,0,527.0
9,1,431.0
9,2,441.0
9,3,392.0
9,4,367.0
9,5,390.0
9,6,309.0
9,7,275.0
9,8,292.0
9,9,265.0
9,10,222.0
9,11,267.0
10,0,168.0
10,1,247.0
10,2,189.0
10,3,238.0
10,4,191.0
10,5,209.0
10,6,198.0
10,7,185.0
10,8,148.0
10,9,213.0
10,10,144.0
10,11,182.0
11,0,195.0
11,1,140.0
11,2,208.0
11,3,183.0
11,4,212.0
11,5,195.0
11,6,213.0
11,7,202.0
11,8,186.0
11,9,152.0
11,10,186.0
11,11,114.0
12,0,160.0
12,1,175.0
12,2,140.0
12,3,170.0
12,4,152.0
12,5,150.0
12,6,130.0
12,7,140.0
12,8,155.0
12,9,129.0
12,10,136.0
12,11,132.0
13,0,145.0
13,1,148.0
13,2,125.0
13,3,152.0
13,4,156.0
13,5,160.0
13,6,168.0
13,7,146.0
13,8,122.0
13,9,171.0
13,10,157.0
13,11,171.0
14,0,159.0
14,1,166.0
14,2,147.0
14,3,137.0
14,4,159.0
14,5,160.0
14,6,180.0
14,7,167.0
14,8,99.0
14,9,155.0
14,10,196.0
14,11,141.0
15,0,163.0
15,1,168.0
15,2,184.0
15,3,167.0
15,4,183.0
15,5,151.0
15,6,157.0
15,7,157.0
15,8,116.0
15,9,187.0
15,10,197.0
15,11,199.0
16,0,175.0
16,1,173.0
16,2,231.0
16,3,157.0
16,4,175.0
16,5,203.0
16,6,183.0
16,7,254.0
16,8,243.0
16,9,234.0
16,10,227.0
16,11,238.0
17,0,277.0
17,1,438.0
17,2,465.0
17,3,404.0
17,4,390.0
17,5,414.0
17,6,389.0
17,7,578.0
17,8,601.0
17,9,449.0
17,10,429.0
17,11,460.0
18,0,308.0
18,1,557.0
18,2,591.0
18,3,489.0
18,4,495.0
18,5,407.0
18,6,395.0
18,7,431.0
18,8,397.0
18,9,471.0
18,10,584.0
18,11,543.0
19,0,407.0
19,1,282.0
19,2,265.0
19,3,270.0
19,4,211.0
19,5,218.0
19,6,203.0
19,7,179.0
19,8,159.0
19,9,154.0
19,10,132.0
19,11,144.0
20,0,137.0
20,1,160.0
20,2,142.0
20,3,119.0
20,4,165.0
20,5,92.0
20,6,108.0
20,7,100.0
20,8,131.0
20,9,93.0
20,10,122.0
20,11,109.0
21,0,112.0
21,1,147.0
21,2,139.0
21,3,175.0
21,4,123.0
21,5,92.0
21,6,143.0
21,7,125.0
21,8,99.0
21,9,95.0
21,10,94.0
21,11,45.0
22,0,91.0
22,1,106.0
22,2,82.0
22,3,69.0
22,4,69.0
22,5,38.0
22,6,40.0
22,7,47.0
22,8,40.0
22,9,8.0
22,10,29.0
22,11,1.0
23,0,10.0
23,1,2.0
23,2,3.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
