时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,8.0
5,8,7.0
5,9,3.0
5,10,3.0
5,11,6.0
6,0,4.0
6,1,17.0
6,2,28.0
6,3,18.0
6,4,18.0
6,5,23.0
6,6,19.0
6,7,40.0
6,8,48.0
6,9,44.0
6,10,36.0
6,11,86.0
7,0,83.0
7,1,96.0
7,2,88.0
7,3,107.0
7,4,85.0
7,5,159.0
7,6,144.0
7,7,165.0
7,8,160.0
7,9,224.0
7,10,242.0
7,11,255.0
8,0,324.0
8,1,392.0
8,2,429.0
8,3,614.0
8,4,477.0
8,5,540.0
8,6,576.0
8,7,636.0
8,8,1018.0
8,9,868.0
8,10,778.0
8,11,597.0
9,0,617.0
9,1,502.0
9,2,569.0
9,3,529.0
9,4,464.0
9,5,414.0
9,6,360.0
9,7,318.0
9,8,327.0
9,9,252.0
9,10,271.0
9,11,240.0
10,0,185.0
10,1,196.0
10,2,188.0
10,3,147.0
10,4,186.0
10,5,129.0
10,6,144.0
10,7,143.0
10,8,174.0
10,9,142.0
10,10,128.0
10,11,125.0
11,0,135.0
11,1,124.0
11,2,124.0
11,3,101.0
11,4,122.0
11,5,132.0
11,6,119.0
11,7,149.0
11,8,132.0
11,9,131.0
11,10,159.0
11,11,135.0
12,0,118.0
12,1,115.0
12,2,133.0
12,3,138.0
12,4,142.0
12,5,132.0
12,6,151.0
12,7,153.0
12,8,167.0
12,9,143.0
12,10,167.0
12,11,171.0
13,0,167.0
13,1,126.0
13,2,160.0
13,3,172.0
13,4,157.0
13,5,164.0
13,6,169.0
13,7,162.0
13,8,144.0
13,9,136.0
13,10,153.0
13,11,125.0
14,0,153.0
14,1,126.0
14,2,156.0
14,3,135.0
14,4,156.0
14,5,159.0
14,6,137.0
14,7,146.0
14,8,163.0
14,9,132.0
14,10,162.0
14,11,116.0
15,0,153.0
15,1,137.0
15,2,175.0
15,3,182.0
15,4,162.0
15,5,119.0
15,6,145.0
15,7,154.0
15,8,133.0
15,9,142.0
15,10,137.0
15,11,142.0
16,0,155.0
16,1,140.0
16,2,179.0
16,3,162.0
16,4,139.0
16,5,151.0
16,6,186.0
16,7,177.0
16,8,175.0
16,9,188.0
16,10,172.0
16,11,197.0
17,0,242.0
17,1,293.0
17,2,357.0
17,3,340.0
17,4,278.0
17,5,299.0
17,6,314.0
17,7,416.0
17,8,603.0
17,9,533.0
17,10,452.0
17,11,403.0
18,0,373.0
18,1,509.0
18,2,660.0
18,3,631.0
18,4,609.0
18,5,493.0
18,6,468.0
18,7,414.0
18,8,440.0
18,9,392.0
18,10,348.0
18,11,333.0
19,0,268.0
19,1,337.0
19,2,268.0
19,3,261.0
19,4,253.0
19,5,260.0
19,6,232.0
19,7,208.0
19,8,212.0
19,9,206.0
19,10,173.0
19,11,191.0
20,0,153.0
20,1,172.0
20,2,160.0
20,3,151.0
20,4,134.0
20,5,106.0
20,6,130.0
20,7,139.0
20,8,158.0
20,9,135.0
20,10,156.0
20,11,150.0
21,0,129.0
21,1,167.0
21,2,153.0
21,3,121.0
21,4,118.0
21,5,113.0
21,6,116.0
21,7,102.0
21,8,122.0
21,9,83.0
21,10,112.0
21,11,73.0
22,0,76.0
22,1,77.0
22,2,68.0
22,3,71.0
22,4,54.0
22,5,27.0
22,6,29.0
22,7,30.0
22,8,21.0
22,9,17.0
22,10,17.0
22,11,1.0
23,0,4.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
