时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,2.0
5,5,6.0
5,6,4.0
5,7,17.0
5,8,11.0
5,9,13.0
5,10,17.0
5,11,21.0
6,0,23.0
6,1,43.0
6,2,38.0
6,3,81.0
6,4,61.0
6,5,83.0
6,6,108.0
6,7,84.0
6,8,126.0
6,9,121.0
6,10,148.0
6,11,147.0
7,0,177.0
7,1,173.0
7,2,194.0
7,3,170.0
7,4,204.0
7,5,208.0
7,6,265.0
7,7,235.0
7,8,304.0
7,9,281.0
7,10,335.0
7,11,290.0
8,0,469.0
8,1,376.0
8,2,489.0
8,3,508.0
8,4,388.0
8,5,543.0
8,6,484.0
8,7,408.0
8,8,495.0
8,9,418.0
8,10,427.0
8,11,338.0
9,0,339.0
9,1,319.0
9,2,286.0
9,3,267.0
9,4,250.0
9,5,184.0
9,6,203.0
9,7,179.0
9,8,154.0
9,9,147.0
9,10,125.0
9,11,146.0
10,0,84.0
10,1,129.0
10,2,112.0
10,3,86.0
10,4,110.0
10,5,102.0
10,6,95.0
10,7,98.0
10,8,98.0
10,9,79.0
10,10,75.0
10,11,115.0
11,0,62.0
11,1,78.0
11,2,81.0
11,3,76.0
11,4,74.0
11,5,85.0
11,6,72.0
11,7,84.0
11,8,125.0
11,9,68.0
11,10,90.0
11,11,93.0
12,0,90.0
12,1,89.0
12,2,83.0
12,3,76.0
12,4,85.0
12,5,73.0
12,6,70.0
12,7,85.0
12,8,115.0
12,9,101.0
12,10,99.0
12,11,83.0
13,0,89.0
13,1,100.0
13,2,73.0
13,3,101.0
13,4,110.0
13,5,85.0
13,6,87.0
13,7,100.0
13,8,97.0
13,9,97.0
13,10,90.0
13,11,73.0
14,0,70.0
14,1,74.0
14,2,96.0
14,3,106.0
14,4,94.0
14,5,86.0
14,6,101.0
14,7,111.0
14,8,107.0
14,9,94.0
14,10,95.0
14,11,79.0
15,0,103.0
15,1,112.0
15,2,131.0
15,3,131.0
15,4,116.0
15,5,79.0
15,6,98.0
15,7,100.0
15,8,114.0
15,9,105.0
15,10,114.0
15,11,114.0
16,0,117.0
16,1,158.0
16,2,166.0
16,3,131.0
16,4,154.0
16,5,139.0
16,6,136.0
16,7,166.0
16,8,191.0
16,9,225.0
16,10,166.0
16,11,195.0
17,0,215.0
17,1,237.0
17,2,300.0
17,3,354.0
17,4,327.0
17,5,247.0
17,6,341.0
17,7,317.0
17,8,296.0
17,9,425.0
17,10,343.0
17,11,287.0
18,0,338.0
18,1,234.0
18,2,329.0
18,3,431.0
18,4,345.0
18,5,277.0
18,6,395.0
18,7,234.0
18,8,208.0
18,9,364.0
18,10,198.0
18,11,277.0
19,0,174.0
19,1,203.0
19,2,165.0
19,3,117.0
19,4,151.0
19,5,139.0
19,6,80.0
19,7,149.0
19,8,92.0
19,9,111.0
19,10,120.0
19,11,101.0
20,0,118.0
20,1,117.0
20,2,94.0
20,3,119.0
20,4,86.0
20,5,84.0
20,6,109.0
20,7,67.0
20,8,89.0
20,9,91.0
20,10,75.0
20,11,97.0
21,0,71.0
21,1,65.0
21,2,110.0
21,3,88.0
21,4,66.0
21,5,86.0
21,6,73.0
21,7,106.0
21,8,63.0
21,9,80.0
21,10,80.0
21,11,66.0
22,0,88.0
22,1,78.0
22,2,41.0
22,3,86.0
22,4,81.0
22,5,27.0
22,6,65.0
22,7,65.0
22,8,11.0
22,9,40.0
22,10,33.0
22,11,0.0
23,0,18.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
