时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,2.0
5,6,2.0
5,7,1.0
5,8,6.0
5,9,7.0
5,10,12.0
5,11,3.0
6,0,19.0
6,1,26.0
6,2,21.0
6,3,32.0
6,4,45.0
6,5,54.0
6,6,76.0
6,7,70.0
6,8,79.0
6,9,119.0
6,10,139.0
6,11,151.0
7,0,167.0
7,1,199.0
7,2,191.0
7,3,233.0
7,4,224.0
7,5,246.0
7,6,288.0
7,7,260.0
7,8,347.0
7,9,294.0
7,10,415.0
7,11,309.0
8,0,428.0
8,1,412.0
8,2,548.0
8,3,530.0
8,4,527.0
8,5,595.0
8,6,592.0
8,7,884.0
8,8,959.0
8,9,1079.0
8,10,912.0
8,11,710.0
9,0,735.0
9,1,671.0
9,2,674.0
9,3,574.0
9,4,600.0
9,5,504.0
9,6,470.0
9,7,438.0
9,8,401.0
9,9,355.0
9,10,346.0
9,11,324.0
10,0,290.0
10,1,261.0
10,2,232.0
10,3,211.0
10,4,269.0
10,5,211.0
10,6,211.0
10,7,200.0
10,8,170.0
10,9,197.0
10,10,176.0
10,11,180.0
11,0,137.0
11,1,164.0
11,2,163.0
11,3,195.0
11,4,192.0
11,5,147.0
11,6,178.0
11,7,161.0
11,8,158.0
11,9,171.0
11,10,149.0
11,11,169.0
12,0,159.0
12,1,117.0
12,2,160.0
12,3,183.0
12,4,148.0
12,5,185.0
12,6,159.0
12,7,169.0
12,8,141.0
12,9,149.0
12,10,214.0
12,11,187.0
13,0,194.0
13,1,205.0
13,2,190.0
13,3,180.0
13,4,185.0
13,5,151.0
13,6,188.0
13,7,184.0
13,8,174.0
13,9,178.0
13,10,145.0
13,11,195.0
14,0,188.0
14,1,169.0
14,2,183.0
14,3,160.0
14,4,186.0
14,5,194.0
14,6,129.0
14,7,179.0
14,8,187.0
14,9,160.0
14,10,197.0
14,11,164.0
15,0,174.0
15,1,168.0
15,2,216.0
15,3,175.0
15,4,187.0
15,5,176.0
15,6,185.0
15,7,191.0
15,8,194.0
15,9,185.0
15,10,159.0
15,11,144.0
16,0,174.0
16,1,176.0
16,2,199.0
16,3,186.0
16,4,165.0
16,5,211.0
16,6,221.0
16,7,222.0
16,8,298.0
16,9,321.0
16,10,260.0
16,11,253.0
17,0,294.0
17,1,419.0
17,2,440.0
17,3,387.0
17,4,376.0
17,5,346.0
17,6,418.0
17,7,545.0
17,8,632.0
17,9,578.0
17,10,538.0
17,11,445.0
18,0,498.0
18,1,612.0
18,2,745.0
18,3,674.0
18,4,629.0
18,5,500.0
18,6,532.0
18,7,435.0
18,8,534.0
18,9,490.0
18,10,395.0
18,11,347.0
19,0,330.0
19,1,338.0
19,2,314.0
19,3,282.0
19,4,272.0
19,5,254.0
19,6,214.0
19,7,226.0
19,8,209.0
19,9,208.0
19,10,157.0
19,11,164.0
20,0,173.0
20,1,215.0
20,2,161.0
20,3,193.0
20,4,170.0
20,5,198.0
20,6,176.0
20,7,186.0
20,8,204.0
20,9,196.0
20,10,148.0
20,11,162.0
21,0,186.0
21,1,229.0
21,2,224.0
21,3,172.0
21,4,163.0
21,5,151.0
21,6,153.0
21,7,149.0
21,8,162.0
21,9,112.0
21,10,103.0
21,11,119.0
22,0,162.0
22,1,356.0
22,2,217.0
22,3,138.0
22,4,86.0
22,5,73.0
22,6,72.0
22,7,47.0
22,8,49.0
22,9,38.0
22,10,13.0
22,11,14.0
23,0,6.0
23,1,9.0
23,2,1.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
