时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,5.0
5,7,5.0
5,8,7.0
5,9,11.0
5,10,6.0
5,11,16.0
6,0,20.0
6,1,23.0
6,2,44.0
6,3,30.0
6,4,42.0
6,5,57.0
6,6,64.0
6,7,63.0
6,8,151.0
6,9,122.0
6,10,178.0
6,11,206.0
7,0,238.0
7,1,219.0
7,2,247.0
7,3,331.0
7,4,266.0
7,5,257.0
7,6,154.0
7,7,497.0
7,8,476.0
7,9,382.0
7,10,450.0
7,11,353.0
8,0,444.0
8,1,556.0
8,2,453.0
8,3,712.0
8,4,584.0
8,5,641.0
8,6,691.0
8,7,741.0
8,8,865.0
8,9,888.0
8,10,1030.0
8,11,681.0
9,0,714.0
9,1,740.0
9,2,575.0
9,3,664.0
9,4,602.0
9,5,435.0
9,6,617.0
9,7,472.0
9,8,322.0
9,9,448.0
9,10,415.0
9,11,213.0
10,0,429.0
10,1,375.0
10,2,233.0
10,3,414.0
10,4,237.0
10,5,192.0
10,6,430.0
10,7,320.0
10,8,355.0
10,9,193.0
10,10,328.0
10,11,346.0
11,0,206.0
11,1,292.0
11,2,350.0
11,3,248.0
11,4,294.0
11,5,288.0
11,6,253.0
11,7,274.0
11,8,323.0
11,9,317.0
11,10,278.0
11,11,269.0
12,0,275.0
12,1,298.0
12,2,275.0
12,3,292.0
12,4,359.0
12,5,298.0
12,6,234.0
12,7,306.0
12,8,325.0
12,9,308.0
12,10,303.0
12,11,392.0
13,0,334.0
13,1,312.0
13,2,343.0
13,3,368.0
13,4,326.0
13,5,339.0
13,6,309.0
13,7,303.0
13,8,337.0
13,9,338.0
13,10,367.0
13,11,293.0
14,0,278.0
14,1,322.0
14,2,310.0
14,3,311.0
14,4,237.0
14,5,349.0
14,6,294.0
14,7,301.0
14,8,341.0
14,9,296.0
14,10,327.0
14,11,270.0
15,0,350.0
15,1,295.0
15,2,306.0
15,3,291.0
15,4,268.0
15,5,283.0
15,6,311.0
15,7,337.0
15,8,301.0
15,9,318.0
15,10,345.0
15,11,340.0
16,0,294.0
16,1,372.0
16,2,301.0
16,3,355.0
16,4,412.0
16,5,355.0
16,6,421.0
16,7,453.0
16,8,478.0
16,9,421.0
16,10,460.0
16,11,448.0
17,0,470.0
17,1,663.0
17,2,646.0
17,3,567.0
17,4,702.0
17,5,542.0
17,6,676.0
17,7,773.0
17,8,805.0
17,9,721.0
17,10,764.0
17,11,611.0
18,0,676.0
18,1,839.0
18,2,785.0
18,3,916.0
18,4,746.0
18,5,617.0
18,6,688.0
18,7,457.0
18,8,648.0
18,9,551.0
18,10,438.0
18,11,557.0
19,0,460.0
19,1,427.0
19,2,435.0
19,3,420.0
19,4,368.0
19,5,346.0
19,6,290.0
19,7,355.0
19,8,289.0
19,9,263.0
19,10,304.0
19,11,249.0
20,0,268.0
20,1,366.0
20,2,296.0
20,3,290.0
20,4,286.0
20,5,261.0
20,6,286.0
20,7,290.0
20,8,252.0
20,9,281.0
20,10,254.0
20,11,260.0
21,0,291.0
21,1,257.0
21,2,266.0
21,3,235.0
21,4,219.0
21,5,226.0
21,6,251.0
21,7,242.0
21,8,209.0
21,9,187.0
21,10,176.0
21,11,167.0
22,0,219.0
22,1,205.0
22,2,188.0
22,3,134.0
22,4,84.0
22,5,114.0
22,6,69.0
22,7,73.0
22,8,48.0
22,9,33.0
22,10,5.0
22,11,2.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
