时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,6.0
5,6,8.0
5,7,10.0
5,8,20.0
5,9,22.0
5,10,13.0
5,11,16.0
6,0,14.0
6,1,44.0
6,2,25.0
6,3,25.0
6,4,38.0
6,5,23.0
6,6,46.0
6,7,71.0
6,8,75.0
6,9,79.0
6,10,85.0
6,11,100.0
7,0,87.0
7,1,131.0
7,2,87.0
7,3,121.0
7,4,112.0
7,5,137.0
7,6,143.0
7,7,174.0
7,8,140.0
7,9,126.0
7,10,135.0
7,11,155.0
8,0,197.0
8,1,228.0
8,2,189.0
8,3,174.0
8,4,177.0
8,5,173.0
8,6,156.0
8,7,138.0
8,8,113.0
8,9,139.0
8,10,166.0
8,11,117.0
9,0,110.0
9,1,107.0
9,2,104.0
9,3,113.0
9,4,115.0
9,5,87.0
9,6,91.0
9,7,78.0
9,8,65.0
9,9,74.0
9,10,50.0
9,11,61.0
10,0,46.0
10,1,61.0
10,2,45.0
10,3,55.0
10,4,32.0
10,5,39.0
10,6,27.0
10,7,42.0
10,8,55.0
10,9,59.0
10,10,48.0
10,11,39.0
11,0,45.0
11,1,48.0
11,2,60.0
11,3,40.0
11,4,26.0
11,5,46.0
11,6,35.0
11,7,42.0
11,8,51.0
11,9,40.0
11,10,44.0
11,11,58.0
12,0,52.0
12,1,40.0
12,2,41.0
12,3,33.0
12,4,41.0
12,5,26.0
12,6,43.0
12,7,55.0
12,8,47.0
12,9,44.0
12,10,51.0
12,11,53.0
13,0,34.0
13,1,41.0
13,2,38.0
13,3,38.0
13,4,32.0
13,5,60.0
13,6,35.0
13,7,41.0
13,8,53.0
13,9,47.0
13,10,44.0
13,11,35.0
14,0,35.0
14,1,21.0
14,2,40.0
14,3,33.0
14,4,49.0
14,5,36.0
14,6,56.0
14,7,37.0
14,8,49.0
14,9,35.0
14,10,44.0
14,11,52.0
15,0,35.0
15,1,43.0
15,2,48.0
15,3,41.0
15,4,52.0
15,5,59.0
15,6,47.0
15,7,30.0
15,8,51.0
15,9,49.0
15,10,53.0
15,11,55.0
16,0,38.0
16,1,55.0
16,2,58.0
16,3,40.0
16,4,43.0
16,5,56.0
16,6,57.0
16,7,79.0
16,8,59.0
16,9,83.0
16,10,66.0
16,11,64.0
17,0,70.0
17,1,89.0
17,2,121.0
17,3,68.0
17,4,111.0
17,5,101.0
17,6,85.0
17,7,132.0
17,8,163.0
17,9,117.0
17,10,182.0
17,11,119.0
18,0,146.0
18,1,193.0
18,2,116.0
18,3,140.0
18,4,185.0
18,5,109.0
18,6,108.0
18,7,147.0
18,8,97.0
18,9,145.0
18,10,126.0
18,11,102.0
19,0,138.0
19,1,72.0
19,2,77.0
19,3,102.0
19,4,98.0
19,5,99.0
19,6,49.0
19,7,87.0
19,8,84.0
19,9,60.0
19,10,56.0
19,11,77.0
20,0,52.0
20,1,53.0
20,2,87.0
20,3,56.0
20,4,60.0
20,5,62.0
20,6,63.0
20,7,63.0
20,8,45.0
20,9,30.0
20,10,70.0
20,11,46.0
21,0,63.0
21,1,54.0
21,2,46.0
21,3,56.0
21,4,48.0
21,5,34.0
21,6,64.0
21,7,42.0
21,8,42.0
21,9,45.0
21,10,31.0
21,11,24.0
22,0,54.0
22,1,28.0
22,2,38.0
22,3,30.0
22,4,27.0
22,5,36.0
22,6,26.0
22,7,10.0
22,8,21.0
22,9,23.0
22,10,17.0
22,11,16.0
23,0,9.0
23,1,8.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
