时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,2.0
5,4,6.0
5,5,8.0
5,6,5.0
5,7,5.0
5,8,10.0
5,9,10.0
5,10,5.0
5,11,28.0
6,0,15.0
6,1,17.0
6,2,27.0
6,3,46.0
6,4,35.0
6,5,96.0
6,6,90.0
6,7,91.0
6,8,126.0
6,9,91.0
6,10,88.0
6,11,135.0
7,0,124.0
7,1,118.0
7,2,180.0
7,3,227.0
7,4,182.0
7,5,241.0
7,6,281.0
7,7,361.0
7,8,372.0
7,9,451.0
7,10,456.0
7,11,513.0
8,0,512.0
8,1,775.0
8,2,658.0
8,3,743.0
8,4,853.0
8,5,590.0
8,6,712.0
8,7,810.0
8,8,715.0
8,9,689.0
8,10,672.0
8,11,534.0
9,0,490.0
9,1,549.0
9,2,407.0
9,3,438.0
9,4,376.0
9,5,307.0
9,6,360.0
9,7,303.0
9,8,215.0
9,9,237.0
9,10,229.0
9,11,171.0
10,0,198.0
10,1,165.0
10,2,66.0
10,3,207.0
10,4,172.0
10,5,70.0
10,6,177.0
10,7,113.0
10,8,100.0
10,9,130.0
10,10,123.0
10,11,91.0
11,0,96.0
11,1,143.0
11,2,52.0
11,3,113.0
11,4,111.0
11,5,93.0
11,6,77.0
11,7,107.0
11,8,90.0
11,9,82.0
11,10,103.0
11,11,103.0
12,0,102.0
12,1,104.0
12,2,95.0
12,3,92.0
12,4,93.0
12,5,74.0
12,6,81.0
12,7,117.0
12,8,107.0
12,9,117.0
12,10,114.0
12,11,115.0
13,0,127.0
13,1,125.0
13,2,130.0
13,3,119.0
13,4,62.0
13,5,109.0
13,6,116.0
13,7,103.0
13,8,111.0
13,9,97.0
13,10,150.0
13,11,101.0
14,0,136.0
14,1,108.0
14,2,105.0
14,3,64.0
14,4,131.0
14,5,116.0
14,6,123.0
14,7,119.0
14,8,132.0
14,9,115.0
14,10,140.0
14,11,137.0
15,0,103.0
15,1,100.0
15,2,107.0
15,3,102.0
15,4,165.0
15,5,136.0
15,6,146.0
15,7,119.0
15,8,151.0
15,9,158.0
15,10,160.0
15,11,123.0
16,0,126.0
16,1,96.0
16,2,133.0
16,3,189.0
16,4,146.0
16,5,184.0
16,6,188.0
16,7,165.0
16,8,206.0
16,9,242.0
16,10,205.0
16,11,323.0
17,0,242.0
17,1,326.0
17,2,446.0
17,3,329.0
17,4,321.0
17,5,378.0
17,6,424.0
17,7,544.0
17,8,572.0
17,9,546.0
17,10,555.0
17,11,405.0
18,0,410.0
18,1,644.0
18,2,466.0
18,3,514.0
18,4,438.0
18,5,350.0
18,6,442.0
18,7,439.0
18,8,329.0
18,9,408.0
18,10,124.0
18,11,386.0
19,0,272.0
19,1,197.0
19,2,217.0
19,3,218.0
19,4,169.0
19,5,177.0
19,6,148.0
19,7,100.0
19,8,211.0
19,9,122.0
19,10,122.0
19,11,117.0
20,0,103.0
20,1,157.0
20,2,110.0
20,3,115.0
20,4,132.0
20,5,138.0
20,6,73.0
20,7,118.0
20,8,85.0
20,9,83.0
20,10,109.0
20,11,85.0
21,0,98.0
21,1,68.0
21,2,123.0
21,3,112.0
21,4,85.0
21,5,70.0
21,6,92.0
21,7,85.0
21,8,81.0
21,9,84.0
21,10,61.0
21,11,72.0
22,0,76.0
22,1,66.0
22,2,61.0
22,3,82.0
22,4,30.0
22,5,66.0
22,6,34.0
22,7,2.0
22,8,46.0
22,9,28.0
22,10,2.0
22,11,5.0
23,0,17.0
23,1,1.0
23,2,14.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
