时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,21.0
5,7,42.0
5,8,33.0
5,9,21.0
5,10,35.0
5,11,54.0
6,0,31.0
6,1,54.0
6,2,69.0
6,3,58.0
6,4,93.0
6,5,88.0
6,6,96.0
6,7,157.0
6,8,169.0
6,9,141.0
6,10,173.0
6,11,221.0
7,0,256.0
7,1,240.0
7,2,188.0
7,3,425.0
7,4,215.0
7,5,345.0
7,6,291.0
7,7,316.0
7,8,298.0
7,9,265.0
7,10,333.0
7,11,297.0
8,0,258.0
8,1,205.0
8,2,252.0
8,3,190.0
8,4,162.0
8,5,245.0
8,6,145.0
8,7,156.0
8,8,153.0
8,9,89.0
8,10,136.0
8,11,85.0
9,0,190.0
9,1,71.0
9,2,81.0
9,3,109.0
9,4,47.0
9,5,90.0
9,6,110.0
9,7,41.0
9,8,76.0
9,9,45.0
9,10,88.0
9,11,52.0
10,0,83.0
10,1,67.0
10,2,78.0
10,3,71.0
10,4,30.0
10,5,57.0
10,6,77.0
10,7,79.0
10,8,83.0
10,9,68.0
10,10,30.0
10,11,57.0
11,0,73.0
11,1,51.0
11,2,61.0
11,3,52.0
11,4,61.0
11,5,65.0
11,6,45.0
11,7,47.0
11,8,58.0
11,9,71.0
11,10,73.0
11,11,71.0
12,0,68.0
12,1,63.0
12,2,59.0
12,3,49.0
12,4,59.0
12,5,54.0
12,6,49.0
12,7,40.0
12,8,40.0
12,9,73.0
12,10,55.0
12,11,48.0
13,0,74.0
13,1,70.0
13,2,68.0
13,3,64.0
13,4,47.0
13,5,50.0
13,6,54.0
13,7,52.0
13,8,59.0
13,9,53.0
13,10,39.0
13,11,47.0
14,0,61.0
14,1,57.0
14,2,54.0
14,3,41.0
14,4,51.0
14,5,54.0
14,6,67.0
14,7,48.0
14,8,61.0
14,9,74.0
14,10,44.0
14,11,51.0
15,0,64.0
15,1,80.0
15,2,54.0
15,3,36.0
15,4,62.0
15,5,72.0
15,6,63.0
15,7,82.0
15,8,69.0
15,9,86.0
15,10,80.0
15,11,66.0
16,0,40.0
16,1,67.0
16,2,67.0
16,3,69.0
16,4,76.0
16,5,74.0
16,6,56.0
16,7,125.0
16,8,140.0
16,9,35.0
16,10,109.0
16,11,34.0
17,0,148.0
17,1,51.0
17,2,143.0
17,3,136.0
17,4,72.0
17,5,162.0
17,6,136.0
17,7,81.0
17,8,164.0
17,9,174.0
17,10,70.0
17,11,210.0
18,0,200.0
18,1,56.0
18,2,242.0
18,3,253.0
18,4,86.0
18,5,219.0
18,6,234.0
18,7,57.0
18,8,261.0
18,9,242.0
18,10,204.0
18,11,66.0
19,0,225.0
19,1,224.0
19,2,32.0
19,3,191.0
19,4,204.0
19,5,15.0
19,6,173.0
19,7,134.0
19,8,19.0
19,9,178.0
19,10,152.0
19,11,33.0
20,0,100.0
20,1,18.0
20,2,174.0
20,3,51.0
20,4,101.0
20,5,68.0
20,6,27.0
20,7,91.0
20,8,91.0
20,9,21.0
20,10,86.0
20,11,88.0
21,0,17.0
21,1,62.0
21,2,66.0
21,3,14.0
21,4,74.0
21,5,63.0
21,6,17.0
21,7,89.0
21,8,7.0
21,9,53.0
21,10,51.0
21,11,0.0
22,0,58.0
22,1,46.0
22,2,32.0
22,3,38.0
22,4,27.0
22,5,24.0
22,6,25.0
22,7,13.0
22,8,24.0
22,9,26.0
22,10,19.0
22,11,28.0
23,0,22.0
23,1,20.0
23,2,18.0
23,3,21.0
23,4,2.0
23,5,17.0
23,6,10.0
23,7,11.0
23,8,6.0
23,9,0.0
23,10,0.0
23,11,0.0
