时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,4.0
5,6,9.0
5,7,12.0
5,8,3.0
5,9,6.0
5,10,6.0
5,11,6.0
6,0,11.0
6,1,12.0
6,2,8.0
6,3,3.0
6,4,12.0
6,5,14.0
6,6,11.0
6,7,7.0
6,8,10.0
6,9,26.0
6,10,19.0
6,11,29.0
7,0,44.0
7,1,25.0
7,2,49.0
7,3,50.0
7,4,59.0
7,5,38.0
7,6,79.0
7,7,67.0
7,8,31.0
7,9,71.0
7,10,55.0
7,11,48.0
8,0,82.0
8,1,43.0
8,2,76.0
8,3,49.0
8,4,47.0
8,5,17.0
8,6,63.0
8,7,28.0
8,8,39.0
8,9,49.0
8,10,16.0
8,11,50.0
9,0,6.0
9,1,50.0
9,2,30.0
9,3,18.0
9,4,13.0
9,5,13.0
9,6,16.0
9,7,19.0
9,8,3.0
9,9,19.0
9,10,6.0
9,11,34.0
10,0,19.0
10,1,21.0
10,2,16.0
10,3,16.0
10,4,23.0
10,5,29.0
10,6,14.0
10,7,18.0
10,8,36.0
10,9,9.0
10,10,14.0
10,11,17.0
11,0,31.0
11,1,22.0
11,2,24.0
11,3,17.0
11,4,13.0
11,5,7.0
11,6,7.0
11,7,19.0
11,8,12.0
11,9,11.0
11,10,10.0
11,11,11.0
12,0,28.0
12,1,16.0
12,2,9.0
12,3,8.0
12,4,9.0
12,5,11.0
12,6,12.0
12,7,13.0
12,8,14.0
12,9,21.0
12,10,28.0
12,11,38.0
13,0,12.0
13,1,12.0
13,2,11.0
13,3,8.0
13,4,14.0
13,5,39.0
13,6,30.0
13,7,15.0
13,8,5.0
13,9,24.0
13,10,21.0
13,11,21.0
14,0,23.0
14,1,11.0
14,2,14.0
14,3,8.0
14,4,10.0
14,5,8.0
14,6,8.0
14,7,16.0
14,8,31.0
14,9,24.0
14,10,16.0
14,11,33.0
15,0,16.0
15,1,23.0
15,2,28.0
15,3,17.0
15,4,14.0
15,5,11.0
15,6,18.0
15,7,36.0
15,8,37.0
15,9,15.0
15,10,29.0
15,11,24.0
16,0,7.0
16,1,17.0
16,2,14.0
16,3,29.0
16,4,31.0
16,5,14.0
16,6,11.0
16,7,36.0
16,8,29.0
16,9,14.0
16,10,23.0
16,11,22.0
17,0,21.0
17,1,38.0
17,2,45.0
17,3,37.0
17,4,33.0
17,5,18.0
17,6,27.0
17,7,31.0
17,8,47.0
17,9,50.0
17,10,81.0
17,11,47.0
18,0,40.0
18,1,40.0
18,2,15.0
18,3,52.0
18,4,56.0
18,5,21.0
18,6,75.0
18,7,36.0
18,8,7.0
18,9,30.0
18,10,45.0
18,11,43.0
19,0,17.0
19,1,33.0
19,2,25.0
19,3,7.0
19,4,24.0
19,5,18.0
19,6,6.0
19,7,28.0
19,8,65.0
19,9,5.0
19,10,11.0
19,11,19.0
20,0,1.0
20,1,20.0
20,2,25.0
20,3,33.0
20,4,13.0
20,5,13.0
20,6,52.0
20,7,20.0
20,8,13.0
20,9,13.0
20,10,17.0
20,11,25.0
21,0,34.0
21,1,10.0
21,2,23.0
21,3,19.0
21,4,3.0
21,5,12.0
21,6,18.0
21,7,1.0
21,8,7.0
21,9,1.0
21,10,6.0
21,11,3.0
22,0,0.0
22,1,5.0
22,2,6.0
22,3,5.0
22,4,5.0
22,5,4.0
22,6,5.0
22,7,3.0
22,8,1.0
22,9,1.0
22,10,2.0
22,11,2.0
23,0,2.0
23,1,2.0
23,2,3.0
23,3,2.0
23,4,3.0
23,5,0.0
23,6,3.0
23,7,0.0
23,8,0.0
23,9,2.0
23,10,3.0
23,11,0.0
