时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,8.0
5,7,9.0
5,8,26.0
5,9,30.0
5,10,31.0
5,11,59.0
6,0,37.0
6,1,45.0
6,2,60.0
6,3,69.0
6,4,96.0
6,5,82.0
6,6,124.0
6,7,224.0
6,8,158.0
6,9,233.0
6,10,246.0
6,11,276.0
7,0,294.0
7,1,343.0
7,2,510.0
7,3,351.0
7,4,480.0
7,5,536.0
7,6,532.0
7,7,483.0
7,8,637.0
7,9,545.0
7,10,579.0
7,11,757.0
8,0,703.0
8,1,514.0
8,2,528.0
8,3,429.0
8,4,558.0
8,5,351.0
8,6,528.0
8,7,426.0
8,8,395.0
8,9,297.0
8,10,225.0
8,11,497.0
9,0,176.0
9,1,230.0
9,2,246.0
9,3,205.0
9,4,136.0
9,5,221.0
9,6,116.0
9,7,168.0
9,8,192.0
9,9,141.0
9,10,76.0
9,11,151.0
10,0,214.0
10,1,147.0
10,2,111.0
10,3,114.0
10,4,72.0
10,5,143.0
10,6,141.0
10,7,112.0
10,8,115.0
10,9,105.0
10,10,38.0
10,11,162.0
11,0,119.0
11,1,116.0
11,2,137.0
11,3,127.0
11,4,135.0
11,5,145.0
11,6,96.0
11,7,120.0
11,8,95.0
11,9,156.0
11,10,128.0
11,11,116.0
12,0,164.0
12,1,114.0
12,2,115.0
12,3,144.0
12,4,163.0
12,5,135.0
12,6,154.0
12,7,113.0
12,8,148.0
12,9,119.0
12,10,130.0
12,11,132.0
13,0,107.0
13,1,142.0
13,2,131.0
13,3,105.0
13,4,124.0
13,5,134.0
13,6,105.0
13,7,87.0
13,8,109.0
13,9,121.0
13,10,140.0
13,11,117.0
14,0,113.0
14,1,123.0
14,2,131.0
14,3,97.0
14,4,132.0
14,5,92.0
14,6,162.0
14,7,122.0
14,8,160.0
14,9,131.0
14,10,160.0
14,11,174.0
15,0,134.0
15,1,131.0
15,2,154.0
15,3,135.0
15,4,139.0
15,5,113.0
15,6,151.0
15,7,139.0
15,8,163.0
15,9,147.0
15,10,110.0
15,11,165.0
16,0,149.0
16,1,159.0
16,2,145.0
16,3,187.0
16,4,200.0
16,5,168.0
16,6,95.0
16,7,249.0
16,8,107.0
16,9,261.0
16,10,87.0
16,11,292.0
17,0,96.0
17,1,300.0
17,2,300.0
17,3,90.0
17,4,335.0
17,5,270.0
17,6,184.0
17,7,257.0
17,8,352.0
17,9,254.0
17,10,199.0
17,11,439.0
18,0,330.0
18,1,185.0
18,2,487.0
18,3,432.0
18,4,312.0
18,5,394.0
18,6,371.0
18,7,287.0
18,8,508.0
18,9,515.0
18,10,142.0
18,11,569.0
19,0,477.0
19,1,278.0
19,2,467.0
19,3,542.0
19,4,162.0
19,5,491.0
19,6,480.0
19,7,216.0
19,8,252.0
19,9,391.0
19,10,294.0
19,11,103.0
20,0,212.0
20,1,384.0
20,2,76.0
20,3,266.0
20,4,257.0
20,5,43.0
20,6,282.0
20,7,233.0
20,8,62.0
20,9,239.0
20,10,232.0
20,11,103.0
21,0,141.0
21,1,197.0
21,2,132.0
21,3,131.0
21,4,190.0
21,5,129.0
21,6,140.0
21,7,42.0
21,8,153.0
21,9,159.0
21,10,67.0
21,11,140.0
22,0,154.0
22,1,78.0
22,2,64.0
22,3,71.0
22,4,72.0
22,5,73.0
22,6,51.0
22,7,81.0
22,8,62.0
22,9,48.0
22,10,54.0
22,11,52.0
23,0,45.0
23,1,49.0
23,2,45.0
23,3,29.0
23,4,29.0
23,5,23.0
23,6,9.0
23,7,14.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
