时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,7.0
5,7,10.0
5,8,18.0
5,9,23.0
5,10,34.0
5,11,37.0
6,0,38.0
6,1,40.0
6,2,48.0
6,3,55.0
6,4,67.0
6,5,54.0
6,6,107.0
6,7,86.0
6,8,110.0
6,9,128.0
6,10,123.0
6,11,134.0
7,0,240.0
7,1,227.0
7,2,201.0
7,3,193.0
7,4,247.0
7,5,192.0
7,6,263.0
7,7,295.0
7,8,258.0
7,9,256.0
7,10,286.0
7,11,211.0
8,0,265.0
8,1,263.0
8,2,278.0
8,3,193.0
8,4,207.0
8,5,204.0
8,6,197.0
8,7,115.0
8,8,141.0
8,9,196.0
8,10,73.0
8,11,133.0
9,0,114.0
9,1,116.0
9,2,65.0
9,3,109.0
9,4,115.0
9,5,90.0
9,6,78.0
9,7,66.0
9,8,39.0
9,9,113.0
9,10,58.0
9,11,72.0
10,0,64.0
10,1,59.0
10,2,75.0
10,3,45.0
10,4,64.0
10,5,82.0
10,6,39.0
10,7,55.0
10,8,55.0
10,9,69.0
10,10,96.0
10,11,60.0
11,0,45.0
11,1,57.0
11,2,44.0
11,3,57.0
11,4,76.0
11,5,56.0
11,6,59.0
11,7,65.0
11,8,71.0
11,9,66.0
11,10,63.0
11,11,38.0
12,0,56.0
12,1,42.0
12,2,66.0
12,3,68.0
12,4,68.0
12,5,84.0
12,6,48.0
12,7,65.0
12,8,65.0
12,9,57.0
12,10,72.0
12,11,52.0
13,0,55.0
13,1,70.0
13,2,80.0
13,3,50.0
13,4,73.0
13,5,60.0
13,6,61.0
13,7,63.0
13,8,70.0
13,9,65.0
13,10,39.0
13,11,57.0
14,0,54.0
14,1,58.0
14,2,60.0
14,3,55.0
14,4,55.0
14,5,72.0
14,6,54.0
14,7,61.0
14,8,46.0
14,9,77.0
14,10,35.0
14,11,72.0
15,0,57.0
15,1,44.0
15,2,78.0
15,3,57.0
15,4,107.0
15,5,81.0
15,6,59.0
15,7,84.0
15,8,47.0
15,9,62.0
15,10,73.0
15,11,75.0
16,0,90.0
16,1,71.0
16,2,76.0
16,3,46.0
16,4,83.0
16,5,89.0
16,6,82.0
16,7,47.0
16,8,115.0
16,9,85.0
16,10,125.0
16,11,91.0
17,0,48.0
17,1,136.0
17,2,76.0
17,3,135.0
17,4,73.0
17,5,154.0
17,6,152.0
17,7,200.0
17,8,61.0
17,9,162.0
17,10,197.0
17,11,116.0
18,0,164.0
18,1,193.0
18,2,176.0
18,3,114.0
18,4,215.0
18,5,206.0
18,6,60.0
18,7,217.0
18,8,192.0
18,9,39.0
18,10,237.0
18,11,182.0
19,0,49.0
19,1,193.0
19,2,170.0
19,3,27.0
19,4,189.0
19,5,176.0
19,6,21.0
19,7,140.0
19,8,163.0
19,9,12.0
19,10,169.0
19,11,119.0
20,0,17.0
20,1,134.0
20,2,95.0
20,3,87.0
20,4,28.0
20,5,74.0
20,6,82.0
20,7,25.0
20,8,103.0
20,9,91.0
20,10,33.0
20,11,87.0
21,0,76.0
21,1,16.0
21,2,76.0
21,3,81.0
21,4,18.0
21,5,63.0
21,6,70.0
21,7,37.0
21,8,55.0
21,9,14.0
21,10,58.0
21,11,67.0
22,0,0.0
22,1,46.0
22,2,32.0
22,3,27.0
22,4,22.0
22,5,20.0
22,6,31.0
22,7,18.0
22,8,20.0
22,9,20.0
22,10,26.0
22,11,21.0
23,0,25.0
23,1,27.0
23,2,17.0
23,3,23.0
23,4,22.0
23,5,10.0
23,6,9.0
23,7,0.0
23,8,6.0
23,9,0.0
23,10,0.0
23,11,0.0
