时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,2.0
5,7,12.0
5,8,6.0
5,9,15.0
5,10,25.0
5,11,27.0
6,0,37.0
6,1,40.0
6,2,35.0
6,3,38.0
6,4,55.0
6,5,74.0
6,6,90.0
6,7,130.0
6,8,137.0
6,9,128.0
6,10,180.0
6,11,275.0
7,0,190.0
7,1,282.0
7,2,236.0
7,3,251.0
7,4,264.0
7,5,422.0
7,6,425.0
7,7,399.0
7,8,554.0
7,9,483.0
7,10,432.0
7,11,737.0
8,0,476.0
8,1,975.0
8,2,657.0
8,3,807.0
8,4,1288.0
8,5,711.0
8,6,1166.0
8,7,1113.0
8,8,971.0
8,9,1107.0
8,10,864.0
8,11,889.0
9,0,664.0
9,1,841.0
9,2,590.0
9,3,630.0
9,4,622.0
9,5,479.0
9,6,587.0
9,7,437.0
9,8,427.0
9,9,495.0
9,10,300.0
9,11,300.0
10,0,316.0
10,1,224.0
10,2,211.0
10,3,161.0
10,4,216.0
10,5,145.0
10,6,184.0
10,7,150.0
10,8,133.0
10,9,176.0
10,10,127.0
10,11,130.0
11,0,90.0
11,1,129.0
11,2,118.0
11,3,119.0
11,4,160.0
11,5,166.0
11,6,125.0
11,7,138.0
11,8,141.0
11,9,148.0
11,10,130.0
11,11,103.0
12,0,155.0
12,1,125.0
12,2,130.0
12,3,134.0
12,4,161.0
12,5,136.0
12,6,144.0
12,7,173.0
12,8,127.0
12,9,112.0
12,10,133.0
12,11,181.0
13,0,154.0
13,1,154.0
13,2,180.0
13,3,154.0
13,4,153.0
13,5,154.0
13,6,154.0
13,7,160.0
13,8,121.0
13,9,115.0
13,10,160.0
13,11,118.0
14,0,129.0
14,1,168.0
14,2,166.0
14,3,139.0
14,4,145.0
14,5,155.0
14,6,159.0
14,7,114.0
14,8,121.0
14,9,141.0
14,10,154.0
14,11,163.0
15,0,189.0
15,1,122.0
15,2,174.0
15,3,126.0
15,4,135.0
15,5,142.0
15,6,154.0
15,7,180.0
15,8,188.0
15,9,141.0
15,10,184.0
15,11,142.0
16,0,172.0
16,1,144.0
16,2,177.0
16,3,197.0
16,4,150.0
16,5,194.0
16,6,150.0
16,7,194.0
16,8,265.0
16,9,353.0
16,10,253.0
16,11,283.0
17,0,292.0
17,1,334.0
17,2,443.0
17,3,486.0
17,4,593.0
17,5,417.0
17,6,457.0
17,7,594.0
17,8,579.0
17,9,661.0
17,10,668.0
17,11,740.0
18,0,635.0
18,1,675.0
18,2,575.0
18,3,651.0
18,4,775.0
18,5,778.0
18,6,755.0
18,7,639.0
18,8,570.0
18,9,664.0
18,10,514.0
18,11,460.0
19,0,515.0
19,1,420.0
19,2,489.0
19,3,372.0
19,4,316.0
19,5,323.0
19,6,312.0
19,7,251.0
19,8,274.0
19,9,252.0
19,10,209.0
19,11,222.0
20,0,204.0
20,1,257.0
20,2,224.0
20,3,177.0
20,4,254.0
20,5,203.0
20,6,168.0
20,7,228.0
20,8,236.0
20,9,226.0
20,10,176.0
20,11,165.0
21,0,191.0
21,1,189.0
21,2,275.0
21,3,295.0
21,4,194.0
21,5,226.0
21,6,223.0
21,7,203.0
21,8,161.0
21,9,166.0
21,10,172.0
21,11,116.0
22,0,122.0
22,1,120.0
22,2,104.0
22,3,115.0
22,4,80.0
22,5,99.0
22,6,107.0
22,7,65.0
22,8,57.0
22,9,23.0
22,10,42.0
22,11,14.0
23,0,9.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
