时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,1.0
5,9,0.0
5,10,80.0
5,11,76.0
6,0,90.0
6,1,69.0
6,2,103.0
6,3,103.0
6,4,171.0
6,5,194.0
6,6,192.0
6,7,172.0
6,8,182.0
6,9,177.0
6,10,339.0
6,11,366.0
7,0,445.0
7,1,429.0
7,2,388.0
7,3,622.0
7,4,634.0
7,5,816.0
7,6,696.0
7,7,749.0
7,8,793.0
7,9,842.0
7,10,882.0
7,11,839.0
8,0,848.0
8,1,869.0
8,2,819.0
8,3,867.0
8,4,841.0
8,5,806.0
8,6,829.0
8,7,756.0
8,8,700.0
8,9,554.0
8,10,664.0
8,11,521.0
9,0,465.0
9,1,465.0
9,2,320.0
9,3,244.0
9,4,250.0
9,5,219.0
9,6,193.0
9,7,242.0
9,8,158.0
9,9,169.0
9,10,239.0
9,11,131.0
10,0,134.0
10,1,159.0
10,2,140.0
10,3,127.0
10,4,134.0
10,5,84.0
10,6,98.0
10,7,143.0
10,8,106.0
10,9,117.0
10,10,94.0
10,11,114.0
11,0,134.0
11,1,106.0
11,2,114.0
11,3,93.0
11,4,114.0
11,5,79.0
11,6,125.0
11,7,105.0
11,8,115.0
11,9,109.0
11,10,107.0
11,11,98.0
12,0,127.0
12,1,81.0
12,2,135.0
12,3,127.0
12,4,130.0
12,5,109.0
12,6,139.0
12,7,150.0
12,8,100.0
12,9,133.0
12,10,110.0
12,11,84.0
13,0,88.0
13,1,114.0
13,2,135.0
13,3,118.0
13,4,110.0
13,5,108.0
13,6,109.0
13,7,111.0
13,8,92.0
13,9,87.0
13,10,66.0
13,11,106.0
14,0,106.0
14,1,85.0
14,2,100.0
14,3,111.0
14,4,87.0
14,5,94.0
14,6,98.0
14,7,108.0
14,8,85.0
14,9,103.0
14,10,50.0
14,11,109.0
15,0,96.0
15,1,118.0
15,2,91.0
15,3,104.0
15,4,142.0
15,5,127.0
15,6,127.0
15,7,99.0
15,8,84.0
15,9,131.0
15,10,117.0
15,11,122.0
16,0,136.0
16,1,97.0
16,2,156.0
16,3,183.0
16,4,164.0
16,5,125.0
16,6,189.0
16,7,189.0
16,8,176.0
16,9,194.0
16,10,160.0
16,11,210.0
17,0,244.0
17,1,181.0
17,2,274.0
17,3,286.0
17,4,266.0
17,5,283.0
17,6,390.0
17,7,255.0
17,8,289.0
17,9,522.0
17,10,342.0
17,11,446.0
18,0,515.0
18,1,559.0
18,2,426.0
18,3,190.0
18,4,822.0
18,5,729.0
18,6,570.0
18,7,497.0
18,8,562.0
18,9,630.0
18,10,831.0
18,11,504.0
19,0,476.0
19,1,560.0
19,2,689.0
19,3,464.0
19,4,687.0
19,5,464.0
19,6,385.0
19,7,627.0
19,8,296.0
19,9,306.0
19,10,490.0
19,11,260.0
20,0,291.0
20,1,394.0
20,2,323.0
20,3,292.0
20,4,219.0
20,5,225.0
20,6,282.0
20,7,219.0
20,8,303.0
20,9,227.0
20,10,216.0
20,11,218.0
21,0,251.0
21,1,185.0
21,2,320.0
21,3,155.0
21,4,209.0
21,5,222.0
21,6,131.0
21,7,241.0
21,8,218.0
21,9,186.0
21,10,130.0
21,11,207.0
22,0,171.0
22,1,149.0
22,2,176.0
22,3,156.0
22,4,100.0
22,5,112.0
22,6,116.0
22,7,96.0
22,8,109.0
22,9,79.0
22,10,100.0
22,11,97.0
23,0,105.0
23,1,83.0
23,2,46.0
23,3,43.0
23,4,5.0
23,5,27.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
