时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,9.0
5,9,15.0
5,10,12.0
5,11,7.0
6,0,26.0
6,1,29.0
6,2,30.0
6,3,29.0
6,4,24.0
6,5,34.0
6,6,82.0
6,7,49.0
6,8,76.0
6,9,61.0
6,10,52.0
6,11,80.0
7,0,143.0
7,1,93.0
7,2,98.0
7,3,207.0
7,4,162.0
7,5,182.0
7,6,163.0
7,7,238.0
7,8,295.0
7,9,311.0
7,10,245.0
7,11,256.0
8,0,304.0
8,1,365.0
8,2,194.0
8,3,287.0
8,4,188.0
8,5,205.0
8,6,169.0
8,7,149.0
8,8,178.0
8,9,103.0
8,10,174.0
8,11,92.0
9,0,107.0
9,1,90.0
9,2,50.0
9,3,75.0
9,4,84.0
9,5,13.0
9,6,75.0
9,7,54.0
9,8,64.0
9,9,31.0
9,10,58.0
9,11,48.0
10,0,54.0
10,1,40.0
10,2,28.0
10,3,43.0
10,4,45.0
10,5,46.0
10,6,44.0
10,7,57.0
10,8,41.0
10,9,21.0
10,10,59.0
10,11,39.0
11,0,21.0
11,1,29.0
11,2,55.0
11,3,38.0
11,4,28.0
11,5,46.0
11,6,42.0
11,7,51.0
11,8,56.0
11,9,27.0
11,10,30.0
11,11,44.0
12,0,41.0
12,1,38.0
12,2,32.0
12,3,35.0
12,4,23.0
12,5,60.0
12,6,15.0
12,7,31.0
12,8,45.0
12,9,33.0
12,10,29.0
12,11,31.0
13,0,45.0
13,1,31.0
13,2,32.0
13,3,32.0
13,4,43.0
13,5,28.0
13,6,36.0
13,7,39.0
13,8,40.0
13,9,29.0
13,10,25.0
13,11,26.0
14,0,35.0
14,1,45.0
14,2,34.0
14,3,22.0
14,4,10.0
14,5,32.0
14,6,46.0
14,7,36.0
14,8,39.0
14,9,31.0
14,10,47.0
14,11,17.0
15,0,36.0
15,1,31.0
15,2,56.0
15,3,43.0
15,4,26.0
15,5,46.0
15,6,47.0
15,7,29.0
15,8,46.0
15,9,47.0
15,10,48.0
15,11,32.0
16,0,36.0
16,1,50.0
16,2,42.0
16,3,70.0
16,4,50.0
16,5,21.0
16,6,74.0
16,7,67.0
16,8,58.0
16,9,45.0
16,10,57.0
16,11,56.0
17,0,78.0
17,1,96.0
17,2,62.0
17,3,82.0
17,4,48.0
17,5,66.0
17,6,84.0
17,7,95.0
17,8,96.0
17,9,126.0
17,10,143.0
17,11,67.0
18,0,87.0
18,1,135.0
18,2,92.0
18,3,107.0
18,4,145.0
18,5,44.0
18,6,158.0
18,7,169.0
18,8,153.0
18,9,55.0
18,10,201.0
18,11,141.0
19,0,59.0
19,1,151.0
19,2,161.0
19,3,40.0
19,4,183.0
19,5,148.0
19,6,9.0
19,7,178.0
19,8,146.0
19,9,49.0
19,10,74.0
19,11,20.0
20,0,133.0
20,1,54.0
20,2,101.0
20,3,78.0
20,4,18.0
20,5,74.0
20,6,59.0
20,7,12.0
20,8,88.0
20,9,97.0
20,10,22.0
20,11,83.0
21,0,46.0
21,1,5.0
21,2,90.0
21,3,78.0
21,4,19.0
21,5,76.0
21,6,6.0
21,7,63.0
21,8,50.0
21,9,16.0
21,10,68.0
21,11,53.0
22,0,56.0
22,1,38.0
22,2,37.0
22,3,47.0
22,4,43.0
22,5,34.0
22,6,19.0
22,7,23.0
22,8,24.0
22,9,23.0
22,10,27.0
22,11,17.0
23,0,19.0
23,1,16.0
23,2,1.0
23,3,18.0
23,4,12.0
23,5,3.0
23,6,5.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
