时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,7.0
5,8,4.0
5,9,8.0
5,10,7.0
5,11,15.0
6,0,19.0
6,1,17.0
6,2,21.0
6,3,37.0
6,4,23.0
6,5,65.0
6,6,67.0
6,7,39.0
6,8,91.0
6,9,97.0
6,10,75.0
6,11,128.0
7,0,166.0
7,1,106.0
7,2,183.0
7,3,139.0
7,4,441.0
7,5,284.0
7,6,467.0
7,7,471.0
7,8,484.0
7,9,709.0
7,10,759.0
7,11,1025.0
8,0,1173.0
8,1,992.0
8,2,1439.0
8,3,1271.0
8,4,1809.0
8,5,1740.0
8,6,1861.0
8,7,1860.0
8,8,1788.0
8,9,2245.0
8,10,2128.0
8,11,1646.0
9,0,1200.0
9,1,1635.0
9,2,1254.0
9,3,1280.0
9,4,1249.0
9,5,944.0
9,6,849.0
9,7,521.0
9,8,560.0
9,9,623.0
9,10,559.0
9,11,500.0
10,0,329.0
10,1,268.0
10,2,294.0
10,3,249.0
10,4,188.0
10,5,194.0
10,6,116.0
10,7,185.0
10,8,185.0
10,9,139.0
10,10,133.0
10,11,159.0
11,0,132.0
11,1,120.0
11,2,157.0
11,3,108.0
11,4,147.0
11,5,139.0
11,6,127.0
11,7,140.0
11,8,153.0
11,9,150.0
11,10,124.0
11,11,135.0
12,0,143.0
12,1,137.0
12,2,152.0
12,3,102.0
12,4,126.0
12,5,125.0
12,6,140.0
12,7,153.0
12,8,169.0
12,9,153.0
12,10,173.0
12,11,153.0
13,0,152.0
13,1,145.0
13,2,146.0
13,3,171.0
13,4,155.0
13,5,178.0
13,6,169.0
13,7,181.0
13,8,156.0
13,9,163.0
13,10,152.0
13,11,166.0
14,0,122.0
14,1,142.0
14,2,142.0
14,3,181.0
14,4,122.0
14,5,165.0
14,6,137.0
14,7,131.0
14,8,146.0
14,9,137.0
14,10,135.0
14,11,91.0
15,0,180.0
15,1,133.0
15,2,142.0
15,3,120.0
15,4,147.0
15,5,147.0
15,6,129.0
15,7,127.0
15,8,164.0
15,9,151.0
15,10,149.0
15,11,115.0
16,0,145.0
16,1,137.0
16,2,157.0
16,3,190.0
16,4,183.0
16,5,163.0
16,6,230.0
16,7,235.0
16,8,268.0
16,9,255.0
16,10,306.0
16,11,287.0
17,0,393.0
17,1,583.0
17,2,718.0
17,3,821.0
17,4,714.0
17,5,716.0
17,6,676.0
17,7,1201.0
17,8,1338.0
17,9,1387.0
17,10,1279.0
17,11,1099.0
18,0,896.0
18,1,1052.0
18,2,1262.0
18,3,1357.0
18,4,1281.0
18,5,1012.0
18,6,1007.0
18,7,765.0
18,8,779.0
18,9,806.0
18,10,742.0
18,11,732.0
19,0,532.0
19,1,560.0
19,2,510.0
19,3,510.0
19,4,567.0
19,5,345.0
19,6,381.0
19,7,367.0
19,8,367.0
19,9,408.0
19,10,319.0
19,11,270.0
20,0,263.0
20,1,306.0
20,2,399.0
20,3,435.0
20,4,354.0
20,5,280.0
20,6,224.0
20,7,239.0
20,8,319.0
20,9,292.0
20,10,252.0
20,11,201.0
21,0,188.0
21,1,174.0
21,2,221.0
21,3,242.0
21,4,236.0
21,5,212.0
21,6,148.0
21,7,147.0
21,8,135.0
21,9,145.0
21,10,123.0
21,11,116.0
22,0,84.0
22,1,72.0
22,2,97.0
22,3,80.0
22,4,89.0
22,5,82.0
22,6,64.0
22,7,55.0
22,8,28.0
22,9,19.0
22,10,26.0
22,11,19.0
23,0,14.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
