时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,18.0
5,7,18.0
5,8,17.0
5,9,17.0
5,10,10.0
5,11,21.0
6,0,20.0
6,1,28.0
6,2,32.0
6,3,29.0
6,4,32.0
6,5,40.0
6,6,44.0
6,7,51.0
6,8,29.0
6,9,147.0
6,10,60.0
6,11,99.0
7,0,74.0
7,1,129.0
7,2,127.0
7,3,128.0
7,4,122.0
7,5,188.0
7,6,134.0
7,7,175.0
7,8,135.0
7,9,110.0
7,10,129.0
7,11,124.0
8,0,114.0
8,1,117.0
8,2,94.0
8,3,119.0
8,4,113.0
8,5,107.0
8,6,73.0
8,7,86.0
8,8,45.0
8,9,68.0
8,10,77.0
8,11,54.0
9,0,64.0
9,1,62.0
9,2,42.0
9,3,29.0
9,4,57.0
9,5,55.0
9,6,43.0
9,7,39.0
9,8,54.0
9,9,29.0
9,10,47.0
9,11,32.0
10,0,56.0
10,1,32.0
10,2,52.0
10,3,31.0
10,4,46.0
10,5,58.0
10,6,19.0
10,7,34.0
10,8,44.0
10,9,40.0
10,10,47.0
10,11,48.0
11,0,19.0
11,1,45.0
11,2,40.0
11,3,38.0
11,4,52.0
11,5,48.0
11,6,38.0
11,7,46.0
11,8,38.0
11,9,44.0
11,10,46.0
11,11,33.0
12,0,34.0
12,1,43.0
12,2,49.0
12,3,35.0
12,4,54.0
12,5,42.0
12,6,42.0
12,7,36.0
12,8,29.0
12,9,31.0
12,10,16.0
12,11,37.0
13,0,32.0
13,1,27.0
13,2,44.0
13,3,39.0
13,4,41.0
13,5,38.0
13,6,45.0
13,7,32.0
13,8,32.0
13,9,42.0
13,10,21.0
13,11,26.0
14,0,42.0
14,1,27.0
14,2,22.0
14,3,29.0
14,4,58.0
14,5,36.0
14,6,41.0
14,7,44.0
14,8,45.0
14,9,15.0
14,10,48.0
14,11,41.0
15,0,39.0
15,1,40.0
15,2,39.0
15,3,32.0
15,4,32.0
15,5,36.0
15,6,41.0
15,7,33.0
15,8,29.0
15,9,52.0
15,10,32.0
15,11,36.0
16,0,31.0
16,1,39.0
16,2,53.0
16,3,22.0
16,4,52.0
16,5,54.0
16,6,51.0
16,7,55.0
16,8,32.0
16,9,61.0
16,10,23.0
16,11,62.0
17,0,31.0
17,1,74.0
17,2,36.0
17,3,60.0
17,4,94.0
17,5,35.0
17,6,82.0
17,7,69.0
17,8,81.0
17,9,23.0
17,10,72.0
17,11,85.0
18,0,36.0
18,1,88.0
18,2,97.0
18,3,19.0
18,4,118.0
18,5,105.0
18,6,84.0
18,7,27.0
18,8,108.0
18,9,57.0
18,10,43.0
18,11,92.0
19,0,109.0
19,1,31.0
19,2,87.0
19,3,59.0
19,4,13.0
19,5,99.0
19,6,68.0
19,7,13.0
19,8,78.0
19,9,54.0
19,10,15.0
19,11,63.0
20,0,49.0
20,1,6.0
20,2,41.0
20,3,52.0
20,4,21.0
20,5,40.0
20,6,39.0
20,7,41.0
20,8,18.0
20,9,37.0
20,10,31.0
20,11,6.0
21,0,36.0
21,1,32.0
21,2,15.0
21,3,39.0
21,4,46.0
21,5,3.0
21,6,37.0
21,7,28.0
21,8,14.0
21,9,26.0
21,10,3.0
21,11,19.0
22,0,26.0
22,1,1.0
22,2,19.0
22,3,17.0
22,4,15.0
22,5,5.0
22,6,10.0
22,7,16.0
22,8,9.0
22,9,12.0
22,10,8.0
22,11,12.0
23,0,8.0
23,1,8.0
23,2,11.0
23,3,8.0
23,4,6.0
23,5,13.0
23,6,3.0
23,7,6.0
23,8,0.0
23,9,5.0
23,10,0.0
23,11,0.0
