时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,7.0
5,7,10.0
5,8,5.0
5,9,10.0
5,10,8.0
5,11,11.0
6,0,15.0
6,1,19.0
6,2,20.0
6,3,41.0
6,4,32.0
6,5,39.0
6,6,57.0
6,7,76.0
6,8,75.0
6,9,78.0
6,10,70.0
6,11,71.0
7,0,83.0
7,1,112.0
7,2,108.0
7,3,87.0
7,4,142.0
7,5,136.0
7,6,125.0
7,7,155.0
7,8,195.0
7,9,182.0
7,10,200.0
7,11,253.0
8,0,205.0
8,1,265.0
8,2,289.0
8,3,340.0
8,4,367.0
8,5,325.0
8,6,375.0
8,7,322.0
8,8,401.0
8,9,557.0
8,10,448.0
8,11,313.0
9,0,333.0
9,1,348.0
9,2,344.0
9,3,315.0
9,4,293.0
9,5,281.0
9,6,213.0
9,7,170.0
9,8,202.0
9,9,166.0
9,10,171.0
9,11,124.0
10,0,146.0
10,1,134.0
10,2,88.0
10,3,128.0
10,4,120.0
10,5,85.0
10,6,92.0
10,7,103.0
10,8,74.0
10,9,82.0
10,10,96.0
10,11,71.0
11,0,91.0
11,1,63.0
11,2,68.0
11,3,94.0
11,4,58.0
11,5,75.0
11,6,74.0
11,7,53.0
11,8,67.0
11,9,106.0
11,10,66.0
11,11,64.0
12,0,83.0
12,1,90.0
12,2,72.0
12,3,66.0
12,4,78.0
12,5,55.0
12,6,60.0
12,7,52.0
12,8,94.0
12,9,73.0
12,10,73.0
12,11,74.0
13,0,92.0
13,1,66.0
13,2,79.0
13,3,87.0
13,4,73.0
13,5,73.0
13,6,79.0
13,7,75.0
13,8,92.0
13,9,90.0
13,10,86.0
13,11,87.0
14,0,57.0
14,1,104.0
14,2,83.0
14,3,81.0
14,4,70.0
14,5,113.0
14,6,96.0
14,7,70.0
14,8,89.0
14,9,80.0
14,10,64.0
14,11,85.0
15,0,85.0
15,1,81.0
15,2,94.0
15,3,101.0
15,4,82.0
15,5,84.0
15,6,94.0
15,7,127.0
15,8,83.0
15,9,109.0
15,10,86.0
15,11,83.0
16,0,98.0
16,1,117.0
16,2,119.0
16,3,118.0
16,4,95.0
16,5,122.0
16,6,127.0
16,7,111.0
16,8,161.0
16,9,175.0
16,10,144.0
16,11,180.0
17,0,154.0
17,1,191.0
17,2,199.0
17,3,202.0
17,4,177.0
17,5,219.0
17,6,191.0
17,7,212.0
17,8,336.0
17,9,221.0
17,10,235.0
17,11,276.0
18,0,214.0
18,1,283.0
18,2,399.0
18,3,379.0
18,4,391.0
18,5,295.0
18,6,305.0
18,7,235.0
18,8,352.0
18,9,293.0
18,10,234.0
18,11,218.0
19,0,254.0
19,1,198.0
19,2,199.0
19,3,210.0
19,4,169.0
19,5,155.0
19,6,124.0
19,7,91.0
19,8,114.0
19,9,122.0
19,10,116.0
19,11,97.0
20,0,87.0
20,1,92.0
20,2,115.0
20,3,73.0
20,4,80.0
20,5,111.0
20,6,84.0
20,7,77.0
20,8,103.0
20,9,67.0
20,10,96.0
20,11,88.0
21,0,67.0
21,1,88.0
21,2,92.0
21,3,59.0
21,4,91.0
21,5,63.0
21,6,81.0
21,7,53.0
21,8,74.0
21,9,81.0
21,10,71.0
21,11,48.0
22,0,69.0
22,1,52.0
22,2,56.0
22,3,81.0
22,4,47.0
22,5,58.0
22,6,33.0
22,7,36.0
22,8,32.0
22,9,22.0
22,10,6.0
22,11,8.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
